,Timestamp,TxFee,Date
0,1646092800,122.880939,2022-03-01
1,1646179200,167.463647,2022-03-02
2,1646265600,160.390037,2022-03-03
3,1646352000,155.114518,2022-03-04
4,1646438400,156.834381,2022-03-05
5,1646524800,165.33076,2022-03-06
6,1646611200,154.917095,2022-03-07
7,1646697600,144.163035,2022-03-08
8,1646784000,175.35576,2022-03-09
9,1646870400,159.22057,2022-03-10
10,1646956800,154.317197,2022-03-11
11,1647043200,176.631849,2022-03-12
12,1647129600,150.099688,2022-03-13
13,1647216000,229.851512,2022-03-14
14,1647302400,227.010526,2022-03-15
15,1647388800,438.778952,2022-03-16
16,1647475200,314.811425,2022-03-17
17,1647561600,200.719657,2022-03-18
18,1647648000,180.303276,2022-03-19
19,1647734400,163.677853,2022-03-20
20,1647820800,164.993243,2022-03-21
21,1647907200,171.003904,2022-03-22
22,1647993600,163.160697,2022-03-23
23,1648080000,198.570524,2022-03-24
24,1648166400,259.61566,2022-03-25
25,1648252800,196.036172,2022-03-26
26,1648339200,203.443822,2022-03-27
27,1648425600,225.099489,2022-03-28
28,1648512000,241.370331,2022-03-29
29,1648598400,250.214635,2022-03-30
30,1648684800,54.305681,2022-03-31
