,Metric,Yield
0,Marketcap_Yield,-0.2566499102788733
1,Price_Yield,-0.25549860885782005
2,TX_Yield,-0.45764241065927436
3,Bonded_Yield,-0.031040399313679634
4,FeeValue_Yield,-0.5962140202393106
