Date,Timestamp,P_ATOM,M_ATOM,P_OSMO,M_OSMO,P_JUNO,M_JUNO,P_ROWAN,M_ROWAN,P_STARS,M_STARS,P_EVMOS,M_EVMOS,P_AKASH,M_AKASH,P_SECRET,M_SECRET,P_KAVA,M_KAVA,P_ETH,M_ETH,P_BTC,M_BTC,Date
2022-08-01,1659394889693,10.418582316704267,3035620368.782608,1.0425131035204,441038048.95075977,4.212877966589875,236390074.03594613,0.007329555681597904,13461574.396514699,0.02932734348160144,29125879.28706822,1.5474542201762742,314898612.94233197,0.3842481755740715,64386066.59979472,1.078343335786083,191031295.7616693,2.0142844775767137,478131926.2308256,1686.3973094195583,201566896509.66916,23467.475084576523,446858372081.0782,2022-08-01 23:01:29.693
2022-08-02,1659481225053,10.473269002236767,3029494978.557851,1.0402879836837884,440616956.95462966,4.2602465492254264,239367926.810367,0.007253659682422127,13339270.170132644,0.02952746349566653,29322298.922465395,4.786768823897311,963870054.9723055,0.3837592586795076,64337425.39174607,1.0845499140171158,192360422.2155571,2.1153272623882167,505169940.41214246,1670.8921806618428,200600758076.00583,23412.928605120822,446896037449.8749,2022-08-02 23:00:25.053
2022-08-03,1659567763313,10.4893102128463,3074511222.64865,1.0452995703009782,444357867.09794515,4.494960178723561,253981277.7855517,0.0075075763099665994,13863090.22233862,0.030066696867260437,31747602.155243322,1.5925985139150607,324466616.69873154,0.38695728156392883,64975672.48772189,1.0865612133015516,192914080.38350898,2.140096004768687,513139816.64339995,1669.8855524153046,199879437324.22498,23561.825256339675,449493301504.5075,2022-08-03 23:02:43.313
2022-08-04,1659654066954,10.567250142479983,3075691877.4183087,1.0483799343356375,444910658.60247266,4.566869550694429,257937559.7332324,0.007467776838228542,13815608.34368376,0.02988607607528799,31572768.147046827,1.6771487695488576,341173635.61286575,0.38776740510903995,65107641.17005439,1.08864576715711,193187591.264716,2.159231228996525,524240606.068374,1656.9206874489287,198733734025.85574,23165.07299862601,443603563216.742,2022-08-04 23:01:06.954
2022-08-05,1659740468568,10.913593807387473,3194158928.6946936,1.0857553444300652,462012292.4398207,4.968351940550163,280400527.8862233,0.007253674149532875,13469171.75072784,0.031012842820211058,32847895.202508353,1.8092540689414893,367778333.6181942,0.3964848779438482,66508276.261468306,1.1479333268283536,203372162.7667606,2.2565481087144383,537778413.8135581,1715.4222447930117,205286308474.3013,23426.863032781774,446118120861.4456,2022-08-05 23:01:08.568
2022-08-06,1659826954958,10.950270687527901,3201276616.5034375,1.0914097168965133,464362454.9714514,5.011824043290428,283382998.36853015,0.0071125076614519615,13219126.085084012,0.0315112054903991,33390351.69444701,1.8178596100655589,369777849.8876073,0.39566945234073686,66455276.43737562,1.1588342861265553,205937112.5671574,2.2399855504625226,545883076.9735583,1738.9144455953804,208509856828.33145,23289.635614459137,445764166043.6724,2022-08-06 23:02:34.958
2022-08-07,1659913359572,11.477181115686605,3359962845.579217,1.1368863614698066,485164613.66369826,5.610012200739565,317582372.07926226,0.007122819108329763,13306765.62478883,0.03210142820426998,34089947.83339749,1.8500014219658782,375615171.71689093,0.4103339360890864,68942667.74352981,1.2148081773463624,214776630.97299704,2.1800461603110244,534919954.36014193,1719.9630423072979,206223111687.9527,23326.974063756443,446208613827.14075,2022-08-07 23:02:39.572
2022-08-08,1659999635976,11.97036824244268,3514917965.1390414,1.18161321403259,504232184.7054064,5.849993463597104,333933154.8293204,0.007178487699775239,13465820.379769672,0.03374324967604594,35867598.20292692,1.8465878199856365,374682848.2365912,0.4185493945501229,70356203.45313345,1.406507273577226,249490233.1386092,2.247299624690445,549851949.3279105,1806.665177001094,216655655185.12506,24185.790367799396,462584330257.89026,2022-08-08 23:00:35.976
2022-08-09,1660086044544,12.14630204509754,3564078914.361277,1.1825678061875837,508531831.8661881,5.862219629029615,333304440.83079135,0.007285874057628852,13722827.2341451,0.03390476992275748,36305105.478951186,1.7909157761353698,458814068.66854507,0.416808941938735,70183155.41518915,1.2998627604072341,230826424.7998946,2.289440899486884,564787362.7887447,1780.0980132053703,213721809770.62598,23922.088571506163,457489927285.1258,2022-08-09 23:00:44.544
2022-08-10,1660172517356,11.966038072793161,3497315675.430979,1.1833858857901127,507472290.11723906,6.028924073484609,342600993.0673234,0.007046112600485676,13206053.53938006,0.033416439673631,35695172.854003295,1.8765733683137047,499646897.0749344,0.41201572552601257,69323369.37448847,1.299843598060942,230510458.53947708,2.3067070671286882,570188338.2554312,1858.380948961739,222910068707.83765,24058.48718001248,460049538565.79156,2022-08-10 23:01:57.356
2022-08-11,1660258889435,12.278339895803668,3593166660.545677,1.2171283356515408,519533996.672725,6.2229299087545975,353413091.6878777,0.0067078106648572776,12636934.561898248,0.03331146342655118,35493336.599983215,1.9414243220411826,519189713.1529542,0.4167282111679453,70129974.36870794,1.3191050212788258,232171426.9090903,2.3506073898597717,582481289.7052528,1927.2895066865171,231474454372.57108,24750.869105965743,473341648076.30475,2022-08-11 23:01:29.435
2022-08-12,1660345262768,11.950900261423206,3494084604.190047,1.1928490509611984,511983898.957741,6.043579159980132,344026900.35029095,0.006483871959461751,12282620.602177853,0.03169014490110525,33885442.07888198,1.918656409266174,514828714.5534829,0.4251474329793324,71654118.26037198,1.3257648364565615,235046082.2639995,2.283489722441967,565116433.804199,1930.774362767841,231671650686.6508,24242.726709539424,463329106429.4476,2022-08-12 23:01:02.768
