,Timestamp,P_ATOM,M_ATOM,P_OSMO,M_OSMO,P_JUNO,M_JUNO,P_ROWAN,M_ROWAN,P_STARS,M_STARS,P_EVMOS,M_EVMOS,P_AKASH,M_AKASH,P_SECRET,M_SECRET,P_KAVA,M_KAVA,P_ETH,M_ETH,P_BTC,M_BTC,Date
0,1659355252774,10.260442253711618,3000252716.8301663,1.0302655824457707,435892320.5443506,4.192392619801568,235303821.60219797,0.007245675997195503,13250264.799193304,0.02899721566039074,28792298.77939114,1.5105804033859669,307261237.8060601,0.3824802560791042,64054876.23094104,1.061494577237571,187473996.4446616,2.0142844775767137,477486544.83517474,1669.3473691430552,199674368842.62674,23270.295705683406,444262615497.8098,2022-08-01 12:00:52.774
1,1659358872800,10.205241851502654,2999221239.1095953,1.0292320703316216,435239127.6932952,4.1947626249724035,235560884.93666157,0.00721433769354794,13247004.764865376,0.028917303972833378,28716378.948285148,1.5061933917712091,306478814.12922055,0.3822813541581796,64057374.17711123,1.054114481132738,187073769.2043559,2.0070702683987283,478131926.2308256,1661.1873135571395,199403397798.48032,23176.73357658733,443010158131.89923,2022-08-01 13:01:12.800
2,1659362479907,10.213772013498057,2980025680.729265,1.0350921845094654,433905380.27552605,4.121961000279742,231189192.47922373,0.007260957028791932,13210328.78393217,0.029116573977303162,28663222.350694932,1.499773774483073,303990231.92932945,0.3824536042143557,63613788.11917668,1.068145576678524,187534921.7263439,1.9621988331675677,472120167.6409761,1657.2148949274574,197857771706.42526,23105.494960500542,440874967992.7705,2022-08-01 14:01:19.907
3,1659366119323,10.418582316704267,3035620368.782608,1.0425131035204,441038048.95075977,4.198012014190821,235466638.40057036,0.0073071918892738605,13416779.97313856,0.02932734348160144,29125879.28706822,1.5387751569964014,312680745.3508934,0.3842481755740715,64386066.59979472,1.0750920417768803,190670791.00929472,1.9922023643710889,473820088.30387646,1686.3973094195583,201566896509.66916,23467.475084576523,446858372081.0782,2022-08-01 15:01:59.323
4,1659369720039,10.329474384367039,3027483843.8845477,1.036670754495632,438572794.59480315,4.209197909538338,236390074.03594613,0.007329555681597904,13461574.396514699,0.029208881896906357,29004415.659619115,1.5439972165352263,314185080.70326644,0.3834438654765411,64288725.73458799,1.0768550773665537,191015793.9342764,1.9907817756379493,475473280.50707775,1673.691878986328,200705502318.6785,23334.1557335138,445765606542.3237,2022-08-01 16:02:00.039
5,1659373309664,10.28095134809202,3018172409.6397834,1.0308395402162547,435791621.51670414,4.187589090931342,236246339.8045776,0.007256112739849908,13355658.90776259,0.029043374963020386,28816168.77469637,1.5474542201762742,314898612.94233197,0.3832215997286177,64206239.570715874,1.0717132745904525,190035602.4223538,1.977967919643548,471708108.9849327,1656.5687536861142,199068021205.69016,23200.553474645974,443355496483.64923,2022-08-01 17:01:49.664
6,1659376881659,10.151190424136649,2968268361.6500173,1.0201204067434186,432153811.6841003,4.131096421284421,231786637.94573244,0.007207450578381008,13239796.642263178,0.02873683092027466,28540114.549675323,1.4948917912649757,304488292.0786476,0.3800899946484766,63711516.01213101,1.0606816825001009,188162707.0827739,1.9312192930904493,462692384.2459608,1629.019709947513,195398831740.39297,22944.24607430787,438117443160.662,2022-08-01 18:01:21.659
7,1659380411833,10.12976466291705,2960840984.0796685,1.0145932602943608,430270132.0249071,4.117190158019351,231239920.08299488,0.007189162895522214,13181392.189975135,0.02864200420640033,28459733.705324985,1.4794539178902886,301077860.6742714,0.37931327169170975,63676834.44133446,1.060706721903641,187790001.16222444,1.9288154419823145,457222187.3332743,1622.5174376243767,194411077031.0992,22916.219054614387,437567376033.44385,2022-08-01 19:00:11.833
8,1659384161900,10.193482154690622,2977451989.4683414,1.021617947641548,433631878.6402575,4.142832635139454,232605220.1178988,0.007199824123176155,13216175.385096155,0.028850138547962124,28702168.640191756,1.480551791231708,298946514.94825715,0.3806637324937449,63784779.539269134,1.0667590609634368,188960297.6222171,1.9553723424638358,464390174.4257775,1623.3989005910057,194712114371.54443,22965.342848277465,438571213761.13745,2022-08-01 20:02:41.900
9,1659387657209,10.199310802105845,2992640064.0594363,1.0255627662963327,434016926.70062137,4.150850793333479,233247515.5495037,0.007238581001702459,13264622.21560242,0.028989986568696325,28788556.526378393,1.4669060442352047,298357154.77751386,0.3797873678689358,63765715.10854242,1.0716545404803217,189861037.3057963,1.9492701994817634,464751214.1714687,1620.9996478691296,194932323862.1677,23000.87953630366,439930518981.2925,2022-08-01 21:00:57.209
