,Date,Index,Timestamp,Marketcap,Price,TxFee,Bonded Ratio,FeeValue,AggValue
0,2022-07-01,4,1656716535735,2426199461.205749,8.332885335136176,30.606447,62.23,255.0400133669226,1.0511914516713943e-07
1,2022-07-02,28,1656802846351,2441156275.008694,8.230646512664054,113.770692,62.18,936.4063493531761,3.8359131651653114e-07
2,2022-07-03,52,1656889300622,2413290367.910295,8.277017046053025,119.866194,62.44,992.1345309834988,4.1111278782528075e-07
3,2022-07-04,76,1656975679408,2597398085.486081,8.80917796940258,115.313537,62.46,1015.8174697142892,3.910904051983959e-07
4,2022-07-05,100,1657062129577,2715371217.577217,9.216796784670764,128.411444,62.59,1183.5421841741297,4.358675441916712e-07
5,2022-07-06,124,1657148463411,2696487519.0444374,9.253354581828676,123.204214,62.81,1140.0522781175007,4.227916020621911e-07
6,2022-07-07,148,1657234928294,2786462074.598989,9.528569414204124,122.233877,62.83,1164.713981761789,4.179902509275701e-07
7,2022-07-08,172,1657321358596,2772901402.6533,9.480434878602544,116.674267,62.85,1106.1227903021859,3.9890447934563153e-07
8,2022-07-09,196,1657407758554,2724406790.811073,9.300012253670364,99.192078,62.74,922.4875408670265,3.3860124852808645e-07
9,2022-07-10,220,1657494060327,2631215239.164305,8.999972652817746,108.359123,62.81,975.2291436833144,3.7063830019206447e-07
10,2022-07-11,244,1657580445714,2656607502.5015936,9.064304029505998,110.269591,62.94,999.5170980332783,3.762381522645266e-07
11,2022-07-12,268,1657666842829,2443657050.014608,8.32393018619782,121.885641,62.98,1014.5675663839708,4.151841054692621e-07
12,2022-07-13,292,1657753308516,2334748204.231886,7.969563167522164,335.631961,63.02,2674.8401142288353,1.145665348143543e-06
13,2022-07-14,316,1657839640114,2627112451.2001047,8.9663465861286,137.653487,63.11,1234.2488732311476,4.698119689042333e-07
14,2022-07-15,340,1657926058028,2741915566.386925,9.425002251741548,143.901066,63.25,1356.267871078009,4.946424637229764e-07
15,2022-07-16,364,1658012510863,2724159358.883176,9.3106226324835,117.692213,63.3,1095.7877820248689,4.0224804707244043e-07
16,2022-07-17,388,1658098822778,2735825262.881316,9.347673093017487,120.677231,63.38,1128.0513051585558,4.1232578719976976e-07
17,2022-07-18,412,1658185315845,2862339766.6560745,9.769663493915315,140.052075,63.16,1368.2616443745899,4.780220923853006e-07
18,2022-07-19,436,1658271695177,3113177303.3501835,10.687483130149785,136.172028,63.1,1455.3362520482842,4.674761859795628e-07
19,2022-07-20,460,1658358007290,3090442191.324031,10.563837204636496,113.329305,63.15,1197.192328534597,3.8738544661846166e-07
20,2022-07-21,484,1658444546673,3243503813.267519,11.114143418087714,125.500412,63.21,1394.8295779970963,4.30037902928173e-07
21,2022-07-22,508,1658530900337,3251184881.717014,11.068805455469334,129.251941,63.25,1430.6645896708005,4.400440583112083e-07
22,2022-07-23,532,1658617358970,3262834663.512722,11.163109680553694,121.033475,63.34,1351.1099564435535,4.140908430183733e-07
23,2022-07-24,556,1658703691456,3008340884.9919868,10.275551521116684,113.302072,63.54,1164.241278285272,3.8700443958776073e-07
24,2022-07-25,580,1658790020849,2938823258.134196,9.994702028661637,116.714447,63.57,1166.5261202050212,3.969364666542169e-07
25,2022-07-26,604,1658876409579,2829744129.057573,9.609283642453317,114.727539,63.6,1102.4494638516248,3.8959333903408013e-07
26,2022-07-27,628,1658962820265,2974599975.2952423,10.205172112835664,115.132693,63.69,1174.9489478792698,3.949939345248098e-07
27,2022-07-28,652,1659049308934,3209930362.6195526,11.017328995784643,118.604201,63.68,1306.70150269917,4.070809503894658e-07
28,2022-07-29,676,1659135709356,3241056880.745948,11.114731934827734,114.27247,63.58,1270.107871580644,3.918807717093572e-07
29,2022-07-30,700,1659222160115,3311185991.995951,11.244323087246244,114.061204,63.67,1282.5410294963037,3.8733584661102055e-07
30,2022-07-31,719,1659290463058,3187626905.3202186,10.888726643972642,92.884796,63.67,1011.3971530251634,3.1728843527362615e-07
