,Date,Index,Timestamp,Marketcap,Price,TxFee,Bonded Ratio,FeeValue,AggValue
0,2022-08-01,11,1659394889693,3035620368.782608,10.418582316704269,70.440155,63.75,733.8865532689078,2.4175834396684543e-07
1,2022-08-02,35,1659481225053,3029494978.557851,10.473269002236767,130.847688,63.77,1370.4030347447479,4.523536247606224e-07
2,2022-08-03,59,1659567763313,3074511222.64865,10.4893102128463,136.645312,63.79,1433.315066699169,4.6619282315202843e-07
3,2022-08-04,83,1659654066954,3075691877.4183087,10.567250142479985,132.551446,64.5,1400.704286629428,4.554111212873374e-07
4,2022-08-05,107,1659740468568,3194158928.6946936,10.913593807387471,131.155132,65.34,1431.3738364022865,4.4812229709159257e-07
5,2022-08-06,131,1659826954958,3201276616.503437,10.9502706875279,113.534909,65.35,1243.2379860338474,3.8835693848654724e-07
6,2022-08-07,155,1659913359572,3359962845.579217,11.477181115686603,129.335005,65.37,1484.4012769832323,4.4179097960451984e-07
7,2022-08-08,179,1659999635976,3514917965.1390414,11.97036824244268,141.866518,65.39,1698.194461733123,4.831391453728982e-07
8,2022-08-09,203,1660086044544,3564078914.361277,12.14630204509754,119.663764,65.39,1453.4722213972693,4.0781145881494823e-07
9,2022-08-10,227,1660172517356,3497315675.430979,11.96603807279316,127.4806,65.42,1525.4377131425156,4.361738701081177e-07
10,2022-08-11,251,1660258889435,3593166660.545677,12.278339895803668,127.983621,65.48,1571.4263997337162,4.373374653028399e-07
11,2022-08-12,275,1660345262768,3494084604.190047,11.950900261423206,111.14297,65.47,1328.2585492283515,3.8014493055935923e-07
12,2022-08-13,299,1660431684164,3611053221.932655,12.29007503854683,106.447389,65.47,1308.2463984673843,3.622894258443535e-07
13,2022-08-14,323,1660518014118,3560430819.638237,12.180109533881213,113.80845,65.47,1386.1993868812433,3.8933473422244173e-07
14,2022-08-15,347,1660604512450,3478820753.447642,11.886481550155402,111.746038,65.47,1328.2672189899645,3.818153659321487e-07
15,2022-08-16,371,1660690946713,3406059336.951384,11.624038455764827,117.694577,65.51,1368.0862890829744,4.0166249432033945e-07
16,2022-08-17,395,1660777334427,3471414851.934362,11.8645899263434,115.862943,65.6,1374.6663063542996,3.9599597426055263e-07
17,2022-08-18,419,1660863619840,3547402941.919916,12.250434927159455,117.892731,65.56,1444.2372295006141,4.071252274259455e-07
18,2022-08-19,443,1660950108548,3378350515.307841,11.537567245378204,111.890252,65.56,1290.941306552313,3.8212177827695905e-07
19,2022-08-20,467,1661036573741,3189998660.82222,10.910044977871353,103.920574,65.54,1133.7781364662083,3.554164929254164e-07
20,2022-08-21,491,1661122948824,3133734924.026232,10.704421380057928,103.732209,65.56,1110.3932758202375,3.543354185151056e-07
21,2022-08-22,515,1661209226312,3185583167.459801,10.93478891586038,108.099284,65.58,1182.0428524956433,3.7106011375562663e-07
22,2022-08-23,539,1661295774795,3558692111.074889,12.13383513662876,125.407057,65.65,1521.6685546078056,4.2759207796377515e-07
23,2022-08-24,563,1661382182334,3853584599.199222,13.199197983549888,132.599237,65.72,1750.2035816306536,4.5417546613466e-07
24,2022-08-25,587,1661468492057,3844573296.964587,13.098276568814846,132.139221,65.8,1730.7960622457465,4.5019197933155936e-07
25,2022-08-26,611,1661554880026,3771910006.736418,12.901989726770935,124.916138,65.83,1611.6667291839005,4.2728133128986506e-07
26,2022-08-27,635,1661641363874,3354602524.9159355,11.537112156971906,112.684979,65.77,1300.059241129024,3.875449420528898e-07
27,2022-08-28,659,1661727696463,3328198107.5456586,11.327568303824394,113.783764,65.79,1288.8933585762352,3.8726461494406496e-07
28,2022-08-29,683,1661814204368,3310632634.421707,11.352628700728983,150.424063,65.85,1707.7085348940645,5.158254398686439e-07
29,2022-08-30,707,1661900438357,3490760389.7616744,12.060703392694537,121.942681,65.9,1470.7145064509675,4.213163730070221e-07
30,2022-08-31,719,1661943786042,3572029780.986996,12.160053579680266,50.565936,65.93,614.8844910666833,1.7213867990114658e-07
