,Timestamp,P_ATOM,M_ATOM,P_OSMO,M_OSMO,P_JUNO,M_JUNO,P_ROWAN,M_ROWAN,P_STARS,M_STARS,P_EVMOS,M_EVMOS,P_AKASH,M_AKASH,P_SECRET,M_SECRET,P_KAVA,M_KAVA,P_ETH,M_ETH,P_BTC,M_BTC,Date
0,1664625797278,12.899762708134093,3774392209.685355,1.0941562648349874,498332781.4440988,3.860663305590304,235253205.5187975,0.004926498277658488,11056134.218073418,0.0347201887500405,40246921.73336635,1.4084226188015312,438167151.8489931,0.25750192972979535,44324162.185467705,0.9437617819404958,172168057.6534347,1.5189635306316502,431324973.81410277,1323.2322214801288,159725613122.1147,19260.253420308953,369091537051.45026,2022-10-01 12:03:17.278
1,1664629289006,12.840967840152365,3760119880.5499616,1.0896807104780017,497330752.89089,3.856287189503826,233791967.263995,0.004960828423267029,11168972.065769201,0.03463523192844809,40183619.23040506,1.4010545426453827,435459428.5531967,0.258000587421037,44371927.949041136,0.9450139976005316,172363426.3041574,1.5205599075886995,431677693.5845882,1322.565708562071,159735258876.73868,19282.883905002283,369344070435.3474,2022-10-01 13:01:29.006
2,1664632978382,12.859186137009564,3763873785.715586,1.0945581570156786,499570935.6007247,3.840270278493138,233615468.3346049,0.0049868149226508,11251651.38749924,0.0347018604007796,40137755.253420375,1.3994104832868624,434078858.4193383,0.2582680252063471,44417448.44532861,0.9469763344587733,172544878.0208312,1.5216945980871848,432706790.90451413,1327.3490448169068,160374719220.70847,19355.472897262636,371006202451.96094,2022-10-01 14:02:58.382
3,1664636474941,12.81206935966765,3746978300.8606105,1.0891097886795915,498016098.08486485,3.852144590067791,233726883.4117743,0.0049107477704974905,11058786.892097821,0.034564986841718354,40053565.06332643,1.3951297047304412,431995170.5510758,0.2576887018113301,44339497.854387134,0.9435770745510593,172013542.63883725,1.5172357462466166,431235257.57663554,1322.0325347091905,159676192171.79236,19300.80626061653,369804357248.18463,2022-10-01 15:01:14.941
4,1664640043090,12.798151707514808,3743829519.091263,1.0856613911818807,495966348.4426851,3.8435723690622248,233459429.64018703,0.004918469522516438,11057173.678999392,0.034410010964460294,39868245.06173572,1.381984613439507,428827885.32570314,0.25828154789371915,44450287.60243381,0.9437537161857331,172102846.4164715,1.522003174797814,432472530.23304415,1323.7536801225265,159862219155.99466,19345.16673112949,370766222847.3585,2022-10-01 16:00:43.090
5,1664643681631,12.685676502850407,3713723967.8829403,1.0768758351898002,491292835.5537798,3.8322715083132857,233288783.6866347,0.004889744773077139,10994382.628546594,0.034085281515843724,39720094.42146739,1.3641837679413988,425649729.97959703,0.2579002351929139,44312682.61335421,0.9335102913475112,170662494.16801554,1.5105179597523368,428687897.16421515,1309.5363061996793,158286889539.20886,19283.907715249778,369522771739.10815,2022-10-01 17:01:21.631
6,1664647297686,12.652558308714337,3701474460.5410924,1.0784316416385695,493876181.3496399,3.820679596443316,232181535.1077269,0.004869774247229504,10918008.911672583,0.03423446088847358,39576843.6683743,1.3684821662220639,424709148.7164444,0.2572457275241658,44206275.31030558,0.9381850213972873,171069322.66017544,1.5090321326570235,428973425.54196984,1313.5520459118288,158452892857.26855,19285.111394561725,369637736710.21436,2022-10-01 18:01:37.686
7,1664650934235,12.635648217174957,3690914866.0144367,1.0775911004806078,492432455.40506244,3.8210634608122325,231561151.07805946,0.004491578033138617,10111455.488800459,0.034000111540181045,39501518.852992706,1.3735037748214949,426336737.40940046,0.2557068878590361,43950763.40655176,0.9380345089998972,171077023.48142198,1.5109938208289027,429385360.69699544,1314.2673154890763,158443042468.71487,19288.47235037284,369587767907.57837,2022-10-01 19:02:14.235
8,1664654497276,12.683749082350884,3708142938.631645,1.082685676813616,495184034.6881464,3.8286402340033434,232598931.63019457,0.004648992508655797,10451286.920701168,0.03423498515358085,39666878.472528934,1.3814830727333929,430791667.604979,0.25637306033907753,44190481.440911286,0.9406981163727552,171494223.15312845,1.5129397868030114,430055948.3669173,1312.3295358992264,158484134130.21695,19279.31600018933,369511341998.72473,2022-10-01 20:01:37.276
9,1664658122545,12.656850189382366,3702371746.7624226,1.0765494432425453,491944728.31943333,3.811694624205661,231582693.18505505,0.004798031565937469,10781808.173042329,0.03393246723317965,39217299.01708045,1.3756744379230341,427617992.47196853,0.25568383022147817,43976820.26727604,0.9377631697718006,170962830.06955278,1.5087011622064885,428857324.096734,1309.664522432986,158234438231.8386,19259.226437169706,369207221341.63385,2022-10-01 21:02:02.545
10,1664661775063,12.693327244078107,3710590053.7047577,1.081347400905214,493993530.83054805,3.8367230535867503,233115934.435491,0.004742218850877118,10671103.075325308,0.03418756951080493,39537456.68698021,1.3834219798314935,430038848.44164336,0.25619054046128337,44028642.808765665,0.9387652050569377,171205152.8151396,1.5099884669871182,429191812.0667733,1313.5244894578818,158613068725.40714,19299.787013367295,369966748882.8979,2022-10-01 22:02:55.063
11,1664665312215,12.72565555358424,3713254158.0729084,1.0839213513606938,495336825.2429565,3.827077408258025,233011552.31133035,0.004741660493089793,10670701.920964476,0.034181432062277826,39561397.051983535,1.3918742354204927,433512671.18976325,0.2559345717213807,44022685.80851192,0.9388409996124361,171138288.5363613,1.5094395610371467,429388294.0960021,1312.7014325666057,158642890281.8682,19330.220067743423,370429625662.978,2022-10-01 23:01:52.215
