,Timestamp,P_ATOM,M_ATOM,P_OSMO,M_OSMO,P_JUNO,M_JUNO,P_ROWAN,M_ROWAN,P_STARS,M_STARS,P_EVMOS,M_EVMOS,P_AKASH,M_AKASH,P_SECRET,M_SECRET,P_KAVA,M_KAVA,P_ETH,M_ETH,P_BTC,M_BTC,Date
27,1662130975637,12.899011195275015,3769001644.139096,1.257006453080426,552242613.5761261,5.390785253188827,315131366.15638185,0.003845854346098064,8064485.387334684,0.03310238625268938,36357230.22172467,2.752403884604874,780687035.9338952,0.34201505406970084,58099987.135045975,1.1140320713269634,199729618.6227852,1.7877384483974967,448756950.4105979,1639.7063537166205,197435384362.70206,20385.757561178234,390117534204.8062,2022-09-02 15:02:55.637
28,1662134418775,12.932816470761217,3776581982.091179,1.244702161839891,548323523.0696558,5.359271342047525,314348738.8763247,0.00385228759747844,8086853.9565124195,0.03282063038380258,36156513.44737838,2.7468238787571595,785306490.6057786,0.34542153467069475,58685744.10907753,1.1109626874624074,199100029.7065227,1.7837652154334158,447545669.8027096,1638.221238975194,197163043298.85947,20368.896893873974,389753426390.3129,2022-09-02 16:00:18.775
29,1662138058928,12.807592413464965,3753127761.108287,1.2423881298055666,545976253.9737537,5.3340419281308185,312973559.20132726,0.003834904684426307,8044464.062435624,0.0325367732832643,35840250.63398786,2.7546798807261585,783536774.1346601,0.3453028800516685,58608181.63195672,1.104628066502286,197724318.60668355,1.7652168780786062,443834882.039459,1615.1204952810524,194755966295.90952,20187.80435060513,386703885006.21484,2022-09-02 17:00:58.928
30,1662141828489,12.645557607773272,3710876659.1319532,1.229420732637419,543466604.688425,5.313354500540176,310650873.5249315,0.0037887883760350572,7958586.554819472,0.03215964513924118,35515778.98818766,2.697087648393799,770547129.2807173,0.3424283220428917,58256842.759557225,1.0839252687039969,194249100.89746737,1.7432710132279234,437026345.6234125,1586.0726402764535,191411635555.61923,19825.516782022358,379311127952.1689,2022-09-02 18:03:48.489
31,1662145386113,12.656714969805595,3707176948.481092,1.2215200426612405,538969308.1629312,5.280437891220824,308735114.3388163,0.0037891181724389695,7960234.918238028,0.0320934507724998,35376675.17340792,2.687850705561971,763548328.3036093,0.3422374588542565,58211722.192609325,1.080330211971754,193504318.58200097,1.745443236242397,439089301.0764857,1581.7652612455977,190595226131.73917,19997.205420409406,382859288065.8053,2022-09-02 19:03:06.113
32,1662149004503,12.470856189144525,3651661136.1319194,1.2018208617115758,529952074.3543288,5.161851848978925,302226550.1367381,0.003759657880101627,7884324.592728388,0.03143107586579062,34617316.02921433,2.5807553941158905,738845909.6551518,0.33739706009685155,57336867.86247815,1.0639104980956773,190650415.33609703,1.7213043714659582,431904322.76860577,1557.995259765672,187452552763.32785,19879.893673365765,380585687906.7611,2022-09-02 20:03:24.503
33,1662152467806,12.4286038940973,3642709701.489302,1.2043969156511154,531028343.77839947,5.168140649229447,302243042.39122087,0.003741694921611132,7865457.8701828355,0.03146383675515529,34657639.53279593,2.5627503124384545,733109340.7631167,0.3368604857014301,57258780.73843721,1.0638503619405912,190500648.9447785,1.725316084906181,432885535.9031268,1563.2537369045797,187808426305.92368,19931.183820400067,381363915550.2462,2022-09-02 21:01:07.806
34,1662156169279,12.486169856745407,3652941842.731994,1.2072031092634996,529813724.19929445,5.156991413781074,302151155.5561872,0.0037443566002314786,7859106.57991819,0.0315385893916989,34590286.144702114,2.5351507537483267,727408614.4947459,0.3370844201645433,57242741.9368219,1.0767753457585312,193029221.4303349,1.7289681268645534,433789990.035074,1579.9575491054193,190471203699.57193,19976.971582470098,382529587372.8776,2022-09-02 22:02:49.279
35,1662159723200,12.459882693913098,3636430511.070311,1.19685116992452,528266617.80723345,5.158431840743163,302578112.7984884,0.0037425455166042792,7843626.976537669,0.03122250288205475,34418997.94512732,2.554494891843025,730140195.0978897,0.3360075041373794,57105600.547364786,1.0748343279514887,192439117.13270205,1.7188139357103838,430697882.4430955,1578.084587670721,189620155495.47037,19962.18540670306,381713959005.6392,2022-09-02 23:02:03.200
36,1662163330245,12.651246864721426,3700586933.47712,1.2163879840118745,534959967.21157557,5.226739332431375,305231037.1647781,0.0037858879885936557,7955947.238528194,0.031897025047403264,35134186.603716694,2.572348333589456,737287071.7178693,0.3387297341454492,57543049.93348914,1.0709384784476574,191821002.98098862,1.7243811899315322,431564678.562635,1577.4113280397273,189678877652.6803,19963.42714522854,381788074511.76855,2022-09-03 00:02:10.245
37,1662166831321,12.779383473413658,3744391868.414839,1.2225223303807884,539315121.8488847,5.250381384411185,307459467.3045306,0.003788970590482841,7968208.396570187,0.03210323221002004,35383482.09490822,2.5876181037625527,738457868.1402626,0.338978632764162,57636848.836683065,1.074799848363192,192629116.13488993,1.7228025483487577,431847371.32605714,1580.8098383996648,190184553408.09277,20017.062557851583,383253252756.5038,2022-09-03 01:00:31.321
38,1662170440458,12.66163318501531,3700128933.108839,1.2142972917456962,535618331.1400997,5.194534453382142,304123440.97820216,0.0037790041429821572,7935491.915587145,0.03181128641002552,35063683.27578676,2.566275316857372,734453374.4887878,0.3386196016512769,57576682.82956162,1.0682585327002434,191789454.05014297,1.7059646764434042,427929256.88830495,1573.5954515135293,189431875033.04266,19950.971580146143,381784274164.4715,2022-09-03 02:00:40.458
39,1662174086828,12.596361447097738,3686267897.1214366,1.2110857790369915,534325699.6086878,5.1875947088942835,303591927.9330096,0.0037689899644389254,7926696.159140091,0.03176467045379486,35014269.11848157,2.571480542781526,737921744.1600378,0.33808022524029624,57428210.975642726,1.0646855078795872,190609427.55550995,1.7044973382540276,427558946.13705564,1568.837067846935,189015131142.94138,19953.0194710944,382054889695.35046,2022-09-03 03:01:26.828
