,Timestamp,P_ATOM,M_ATOM,P_OSMO,M_OSMO,P_JUNO,M_JUNO,P_ROWAN,M_ROWAN,P_STARS,M_STARS,P_EVMOS,M_EVMOS,P_AKASH,M_AKASH,P_SECRET,M_SECRET,P_KAVA,M_KAVA,P_ETH,M_ETH,P_BTC,M_BTC,Date
559,1658671284257,10.034124317162334,2931211276.9594617,0.9615903156086878,401988615.9103351,3.353772448338001,186611203.863461,0.006944985113292143,12441592.909699962,0.02745682438278964,27227092.388218038,1.7177632452559133,348758413.90095365,0.33780623991055464,56461516.46999551,1.1391520070873982,201017429.60143733,1.7968548901569232,418608016.516498,1580.6300581999133,189288899787.77136,22550.489488985655,430607928801.7352,2022-07-24 14:01:24.257
560,1658674947928,10.134617035834536,2965248720.3749275,0.9688221820523644,405647922.976489,3.387307357633387,187996186.76169744,0.007016008818656116,12555973.318690648,0.027678118658859295,27498579.061423328,1.7218937647048442,350061515.8025455,0.3387695181972821,56616556.64171681,1.1508078926482916,203096601.78900594,1.8129590520734138,422567252.358726,1611.612664134236,192797426601.17798,22777.137959460397,435225886623.2,2022-07-24 15:02:27.928
561,1658678427848,10.123048661934895,2962889659.3610635,0.9668171509231935,404763863.8742119,3.3809303908560255,188162186.17315978,0.007009835088152951,12552360.885770544,0.027635642362197572,27443622.659211177,1.6974412359267863,345262573.97442204,0.3383969077673322,56462385.16218083,1.1512252398275264,203127038.3384553,1.8170976559411591,423734392.9301917,1608.1683840537,192456669129.66492,22818.98164988223,435759766618.30365,2022-07-24 16:00:27.848
562,1658682081390,10.072216254476551,2944793302.685769,0.964980038260588,403878470.26177007,3.3767761865570445,187840490.06907332,0.00696656625249895,12496978.851979403,0.027564342730173032,27372818.435760282,1.6778154721203686,341082697.285817,0.33778697446798994,56452374.71881552,1.142846807128925,201567470.9086152,1.8050623516186726,420902331.2759963,1592.4464050126435,190823789950.8158,22710.44488246881,433817756950.52954,2022-07-24 17:01:21.390
563,1658685653993,10.136028439505411,2961523579.4967155,0.9694871355132022,406686460.06198287,3.396224772485371,188967545.2339774,0.007092547243994541,12709036.949883396,0.027689703852037135,27419695.596988812,1.660215115693124,338100094.6095445,0.3380139152763569,56465754.679162614,1.147278362048322,202508265.470247,1.811921740394498,422012617.1055464,1604.2292069860093,191940012543.34695,22783.29285776797,434768754793.72363,2022-07-24 18:00:53.993
564,1658689252586,10.061915151142703,2947741532.111813,0.9620916299796621,404596345.1118256,3.405285639734715,189665320.89856905,0.007054044673672079,12639816.963184468,0.02745619809885734,27353744.696291745,1.6501868315719719,336348230.3677236,0.33834568360199185,56576146.14486529,1.1422509289150053,201732540.9711843,1.804874566459391,420923533.70830345,1596.4744966428516,191293767333.22818,22718.7609895118,434225136367.5328,2022-07-24 19:00:52.586
565,1658692946182,10.078135972704473,2948997838.973761,0.9620916125440017,403558419.85005003,3.3993824270948245,189804022.58511966,0.007054758771376888,12683402.941945743,0.02754127593106725,27373644.746520735,1.5885646938860396,323161394.6226103,0.34765251716693935,58063741.52623026,1.1401703880167737,201583984.376986,1.8044690668422783,421574737.39620906,1606.1950916708015,192752883794.32904,22715.872603806598,435343799654.9438,2022-07-24 20:02:26.182
566,1658696405268,10.10226478978808,2955754843.3174267,0.9667077595888501,405239144.34891087,3.4162146330933223,190051921.0055694,0.007057614060467083,12678871.251638297,0.027673772017650294,27490388.682591945,1.5915274161635222,321777253.1142969,0.3455687420413037,57691721.59822221,1.1443888268517854,201960676.15671378,1.807562869369282,421830413.2715602,1611.691501767404,193213531506.87683,22764.874016953596,435054208854.5741,2022-07-24 21:00:05.268
567,1658700037257,10.151859775234945,2962531266.1214595,0.9690722613075194,406324779.1434725,3.465187233388547,193078785.7213675,0.0070770874336718494,12667091.20826711,0.027767209936757044,27574276.067699946,1.592549839967388,324571742.2635173,0.3461091848685262,57778771.07942723,1.1470008154606144,202559746.58927697,1.8195991753887755,424236917.30618507,1622.1131287786761,194354687732.45306,22789.404089591724,435331446683.66144,2022-07-24 22:00:37.257
568,1658703691456,10.143100375294487,3000241665.295471,0.9793102319539293,409639841.0150916,3.6055525334701017,201247175.7331191,0.007048765756836517,12845308.964300174,0.028015566787396928,27787716.460770592,1.6203676820281687,326557443.4434596,0.3484619168520745,57887319.516507454,1.1538511113302665,203922116.61916268,1.8129724347635747,426728847.14284736,1623.5312011237047,198188135055.91547,22860.15456315955,438952764005.3372,2022-07-24 23:01:31.456
569,1658707270103,9.994702028661637,2938823258.134196,0.9620845926581132,403287067.98796254,3.545335210969048,198468388.5259607,0.007004565763887308,12634360.527895087,0.027545405076910997,27344105.117235884,1.6049556336019457,327368355.0639265,0.3437816409991131,57829312.10296712,1.1346178490970322,200288659.53637886,1.7941998151502543,421177858.1315106,1599.7289479243004,192833875418.8718,22606.217112357946,433819662321.5266,2022-07-25 00:01:10.103
