,Date,Index,Timestamp,Marketcap,Price,TxFee,Bonded Ratio,FeeValue,AggValue
0,2022-10-01,11,1664665312215,3774392209.685355,12.899762708134093,79.274533,66.19,1022.6226644981456,2.709370430221915e-07
1,2022-10-02,35,1664751710696,3755397201.204228,12.85131112048092,113.455732,66.24,1458.054910333903,3.882558441132018e-07
2,2022-10-03,59,1664838050484,3763050528.199599,12.87837962422061,112.377098,66.36,1447.2349291122428,3.845908839828044e-07
3,2022-10-04,82,1664924477977,3883050921.341961,13.297098071450849,119.897961,66.39,1594.294945983989,4.1057791367644736e-07
4,2022-10-05,107,1665011185855,3829625307.428292,13.1017342058482,106.024953,66.39,1389.1107533935476,3.627275887014589e-07
5,2022-10-06,131,1665097799921,3913909298.73605,13.3986953542482,120.488278,66.39,1614.3857306799655,4.124739761346314e-07
6,2022-10-07,151,1665169755783,3818850972.739165,13.052055923572595,111.408481,66.5,1454.109724372275,3.807715291202576e-07
7,2022-10-08,168,1665270542710,3899668686.7726026,13.328274432938288,178.55191,66.68,2379.7888570052983,6.102541134013184e-07
8,2022-10-09,192,1665356684785,3874032107.6998873,13.234960879892204,138.310515,66.66,1830.534255302744,4.72513960755369e-07
9,2022-10-10,216,1665443181946,3868277909.942015,13.217372400178924,182.568329,66.81,2413.0735928713857,6.238108142823578e-07
10,2022-10-11,240,1665529780838,3658425668.4515023,12.515161936153271,132.250656,66.94,1655.1383760025,4.5241820553458687e-07
11,2022-10-12,264,1665615745266,3560359708.017931,12.16514695579542,111.677057,66.93,1358.5678099957415,3.815816157385015e-07
12,2022-10-13,288,1665702779263,3443074326.862441,11.767984949054355,123.108445,66.95,1448.738327861486,4.207688217935373e-07
13,2022-10-14,312,1665788577996,3569396266.332918,12.205766033863467,114.56531,67.41,1398.3573694570387,3.9176299438831025e-07
14,2022-10-15,336,1665875137098,3425163663.1550293,11.71815192255972,113.073667,67.76,1325.0144083469277,3.8684703525273705e-07
15,2022-10-16,360,1665961568729,3454575555.717876,11.802900000481342,109.658728,67.42,1294.2910007639834,3.7465991983348706e-07
16,2022-10-17,384,1666047856553,3628869962.7912073,12.394817909986823,130.641452,66.25,1619.2770090362837,4.4622073142317537e-07
17,2022-10-18,408,1666134221572,3721233182.896701,12.69090945130714,116.431448,64.16,1477.6209638525759,3.970783047522861e-07
18,2022-10-19,432,1666220614774,3670449569.279014,12.526830792136488,112.459616,64.18,1408.7625805806454,3.8381199741081536e-07
19,2022-10-20,456,1666306923386,3489169153.1519475,11.946385980975156,109.183419,64.14,1304.3472660965365,3.7382746689659684e-07
20,2022-10-21,480,1666393205941,3394115958.963058,11.583050514813293,120.456847,64.05,1395.257743656136,4.110813421007582e-07
21,2022-10-22,504,1666479743842,3463699638.3544526,11.829673299445764,113.707359,64.02,1345.1209087127938,3.883480235462446e-07
22,2022-10-23,528,1666566085353,3527644423.6800084,12.094221425587753,116.871367,64.01,1413.4681908091295,4.00683294869785e-07
23,2022-10-24,552,1666652413358,3540332704.838056,12.119794125758052,126.746939,63.99,1536.146806750014,4.3389899617366086e-07
24,2022-10-25,576,1666738893926,3582748817.26984,12.242152844717786,179.249146,63.98,2194.3954426171335,6.124893355737195e-07
25,2022-10-26,601,1666825227120,3641145581.4625673,12.431199242196604,313.187512,64.03,3893.29636183984,1.069250397913502e-06
26,2022-10-27,625,1666911724823,3830289969.290958,13.115996715742586,163.051779,64.06,2138.586597859986,5.583354302170155e-07
27,2022-10-28,649,1666998089425,3989793654.689644,13.599321292763502,178.950043,64.09,2433.5991301108443,6.099561382705512e-07
28,2022-10-29,673,1667084480873,4015768744.70818,13.706785400386426,151.978205,64.05,2083.1326414709356,5.187381978148031e-07
29,2022-10-30,697,1667170875724,4109003434.631144,14.036179699077008,133.126604,64.06,1868.588936471864,4.5475477599341626e-07
30,2022-10-31,709,1667214073021,4185263732.6660304,14.305020046994738,77.920015,64.1,1114.6473766371307,2.6632667564944487e-07
