,Date,Index,Timestamp,Marketcap,Price,TxFee,Bonded Ratio,FeeValue,AggValue
0,2022-01-01,15,1641078418498,10560602266.62324,37.00195587850743,82.699456,59.14,3060.0416220885663,2.897601429191043e-07
1,2022-01-02,39,1641164596746,10364944641.723448,36.49706992286075,100.554983,59.22,3669.962245643074,3.540744666276235e-07
2,2022-01-03,63,1641250976695,11227151486.05386,39.42916392545172,120.605818,59.33,4755.386568285196,4.235612723487557e-07
3,2022-01-04,87,1641337225658,12275004299.240047,43.065853412849386,150.007502,59.34,6460.2010919597105,5.262891103312824e-07
4,2022-01-05,111,1641423689576,12275004299.240047,42.494997493299806,128.595797,59.27,5464.678071163891,4.4518746698135273e-07
5,2022-01-06,135,1641510156112,11759543991.712996,40.72825463076937,103.721348,59.25,4224.389471990642,3.5923072144358564e-07
6,2022-01-07,159,1641596512428,12617270494.877142,43.97692478642263,150.775858,59.15,6630.658566874338,5.255224233772681e-07
7,2022-01-08,183,1641682888293,11420723658.72368,39.9255543514328,118.211378,58.85,4719.654797296767,4.1325356766615006e-07
8,2022-01-09,207,1641769478323,10865096401.155592,38.0343344375207,113.023955,59.05,4298.79090392129,3.9565142776497394e-07
9,2022-01-10,231,1641855773609,10786213112.015764,37.84126577885239,116.230161,58.85,4398.296413919803,4.077702126078088e-07
10,2022-01-11,255,1641942293363,11189316880.941942,39.35656681486304,125.407508,58.92,4935.608967687471,4.4110011542295155e-07
11,2022-01-12,279,1642028535753,12027438584.020432,42.11350528764133,117.465676,59.06,4946.891367342363,4.113004886938078e-07
12,2022-01-13,303,1642115049092,11746253615.69546,41.02650122439405,120.875747,59.25,4959.108982295046,4.221864387185235e-07
13,2022-01-14,327,1642201522703,11503694330.660982,40.35926570901566,123.568186,59.1,4987.121251955069,4.3352344982453284e-07
14,2022-01-15,351,1642287975912,11657165895.864832,40.78205202972931,123.782446,57.96,5048.102153139158,4.3304712296578714e-07
15,2022-01-16,375,1642374058279,12488917941.570305,43.65171175154096,147.091819,58.56,6420.809683997835,5.141205758607546e-07
16,2022-01-17,399,1642460521919,12451582328.282324,43.59360265591709,145.392367,61.4,6338.177076201272,5.090258337532603e-07
17,2022-01-18,423,1642546928133,11390647452.632704,39.80521956881955,187.182547,62.13,7450.842382785886,6.541193039087329e-07
18,2022-01-19,447,1642633365817,10999698704.829874,38.47442870392976,161.481364,62.21,6212.90322623133,5.648248550211014e-07
19,2022-01-20,471,1642719711448,11967875732.540943,41.90283834581941,164.523888,62.21,6894.017882889698,5.760435717213119e-07
20,2022-01-21,495,1642806144678,11643868910.713198,40.63238460827133,155.042417,62.19,6299.743118139985,5.41035214879804e-07
21,2022-01-22,519,1642892551718,9915796503.498878,34.596958874767935,127.766406,62.25,4420.329093958903,4.457865883390356e-07
22,2022-01-23,543,1642978926041,9721485377.377066,33.761830859664286,115.697651,62.26,3906.1645239224686,4.0180737534333287e-07
23,2022-01-24,567,1643065362455,10456839243.486843,37.11914470664024,113.123517,62.16,4199.048197247078,4.015599838031842e-07
24,2022-01-25,591,1643152172012,10624628051.836432,37.124084234855886,116.161557,62.2,4312.391426920013,4.058863431152896e-07
25,2022-01-26,615,1643239382069,10331276974.018904,35.974089571112145,111.671761,62.19,4017.289932777828,3.888473750999522e-07
26,2022-01-27,638,1643324432901,9332090859.03962,32.50256922943304,105.409113,62.17,3426.0669926956307,3.6712747919475494e-07
27,2022-01-28,662,1643410896076,8662299700.286915,30.18353916305386,115.089955,62.09,3473.8221640166066,4.010277044445306e-07
28,2022-01-29,686,1643497272805,8670117473.887976,30.20358072343768,111.167623,62.21,3357.6602751131873,3.872681408557084e-07
29,2022-01-30,710,1643583659236,8379304928.248502,29.221966221942843,111.958747,62.21,3271.6547230850447,3.904446432132537e-07
30,2022-01-31,718,1643612554995,7834653893.125428,27.29021994639074,31.798158,62.24,867.7787257100842,1.1076159043496774e-07
