,Timestamp,P_ATOM,M_ATOM,P_OSMO,M_OSMO,P_JUNO,M_JUNO,P_ROWAN,M_ROWAN,P_STARS,M_STARS,P_EVMOS,M_EVMOS,P_AKASH,M_AKASH,P_SECRET,M_SECRET,P_KAVA,M_KAVA,P_ETH,M_ETH,P_BTC,M_BTC
count,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
mean,1663324684014.7,14.655254229847644,4287572923.699672,1.2992349535055516,582367398.7530456,5.2110861130911905,309607511.9612988,0.004497538952644033,9701965.91658138,0.03668314248665286,41420836.775472924,2.5983173780337503,769420784.2940656,0.32190422486989234,55005567.640154354,1.0709242967147645,193202612.11089173,1.6330305774031109,420472961.95586324,1523.748099394576,183554382464.5245,20143.477972386598,385671165069.15857
std,758221996.5822291,1.399397011828339,409733484.24503917,0.1041577703680863,45839509.18551279,0.5290600074789877,29334312.938783024,0.0007757963760163701,1762229.2935243277,0.00277854366263501,3556465.3284110646,0.43625823054117485,122805052.24392116,0.031085496252902443,5155655.000000333,0.08663327832745923,14950282.722795619,0.08750817987152698,21994306.136211105,159.61052858878088,19133122500.62363,914.6640066791686,17635642987.74343
min,1662073228827.0,12.744357980300023,3731936776.061597,1.116961184103565,509221761.1980652,3.953037686481424,239723916.7492098,0.0036064914382788,7699700.591964715,0.0319469996921661,35160783.53884344,1.5516961775223364,480477581.0012897,0.2597374289642393,44625323.12688834,0.9600860987925752,175136676.39534703,1.5024574734340248,378010553.9143954,1326.158086310048,160413785859.04184,19133.18262593146,366066419597.3887
25%,1662699683038.25,13.08253776293823,3832850926.7442026,1.222882731295563,543275364.3699079,5.0315232603158515,297013133.1919944,0.003838088712241975,8082182.819304025,0.034523690638874574,38506557.446336925,2.39314995915625,720696820.9610585,0.28835600287828683,49511278.78286727,1.0070014126441293,182604638.32697627,1.5584465794076405,402230960.37670577,1360.0209927969345,163798017279.8844,19554.926960704506,374585104579.343
50%,1663326238498.0,14.69095431592007,4293424910.522828,1.267560267303973,571223786.931021,5.242257013597521,307639739.492026,0.0044336403962863,9698274.948248923,0.03757853096956665,43107590.84272944,2.652899184380492,766588045.1531887,0.3316340606600061,56546465.99114763,1.0648508568559187,191265206.3921589,1.6038945164011185,427363888.1841441,1527.7405023498495,183686463304.20563,19956.058835986085,381967753618.3589
75%,1663952620206.5,16.021401938162896,4684191452.163745,1.41129765156681,634942808.0490365,5.671204670094382,335280356.6168065,0.004854853150206225,10645072.449170783,0.03891402736454025,43796844.77404929,2.8609650473800903,839010466.3427976,0.34487743231183443,58811555.973204836,1.0949067567011255,196086951.60780355,1.707481828597749,438256142.3097259,1642.3824667126917,197497438747.54193,20281.758091640517,389155251578.54626
max,1664535736078.0,16.932362198201226,4931505298.434113,1.4593914945618545,650811672.326589,5.960188617319068,350951393.9658254,0.006339657138386,13759284.536224024,0.0399248266277657,45867241.6752858,3.3104808667667185,978748527.0251492,0.3663961096575198,62594175.65121956,1.3134280971013226,236219210.55025935,1.7877384483974967,449639029.67852736,1780.3909120725086,214678404124.3566,22534.613722181795,432261231058.5345
