,Timestamp,P_ATOM,M_ATOM,P_OSMO,M_OSMO,P_JUNO,M_JUNO,P_ROWAN,M_ROWAN,P_STARS,M_STARS,P_EVMOS,M_EVMOS,P_AKASH,M_AKASH,P_SECRET,M_SECRET,P_KAVA,M_KAVA,P_ETH,M_ETH,P_BTC,M_BTC
count,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0
mean,1665959571653.3225,12.711519201960053,3718734801.966441,1.227622301727741,571460850.7709999,3.4271402902815233,211860781.19478792,0.007480229439613958,17290390.0574951,0.04272226319738828,51634064.387841135,1.8399695879204159,596579751.4231439,0.2594247530310038,48661190.475042775,0.9230673447422902,169365999.9332965,1.5040699163883928,444926061.34796464,1387.3426739041217,167469367586.14078,19841.32582591708,380572449460.489
std,783606440.3920213,0.716697922685832,210278024.20586607,0.16740787881920752,83929281.3823768,0.33449644005492596,18615473.3883912,0.0023804272300886062,5587725.429082156,0.007141195436206519,9438241.017244264,0.3002159202405372,110432828.54481763,0.00693800506232805,3016309.4053409398,0.028289330983386946,4930950.972138918,0.05836101342924728,18972308.41479789,113.66400221629709,13602994778.732498,604.8811315863327,11646176232.806637
min,1664665312215.0,11.583050514813293,3394115958.963058,1.0945581570156786,499570935.6007247,3.026927918765935,188315011.81148297,0.0038995431544767,8925389.90464449,0.0347201887500405,40246921.73336635,1.4084226188015312,438167151.8489931,0.2488852675077211,43757568.89393578,0.8757684799862661,161167830.62042022,1.3922693694309436,410851966.2580173,1296.34163441152,156768361510.4922,19187.53482170786,367909803354.3937
25%,1665313613747.5,12.142470540776735,3550346206.427994,1.1258810933759573,518770079.873737,3.1321122637995384,196287336.92165262,0.00599904610109145,13847225.8208541,0.03709267388371295,44300733.95277317,1.6088475728060907,515179710.00640166,0.2564168430527995,45261810.33265513,0.899317887632405,165117489.600589,1.4560166308270683,431817577.3872124,1312.827838267344,158373220438.31384,19343.318955000817,371052152027.19226
50%,1665961568729.0,12.69090945130714,3721233182.896701,1.182796530650274,550334885.3578516,3.306423221960415,205196806.4969733,0.0064597389823754,15203775.043999083,0.0404166649652584,48882678.81374594,1.724481493605924,552039650.9185314,0.258559417843011,49531636.80700335,0.9299932518024202,171122878.18482652,1.5198833872688222,441362649.1776722,1331.9504138284858,161071263634.82767,19601.539194645306,375952463247.86194
75%,1666609249355.5,13.226166640035565,3871155008.8209515,1.227851379455279,574261884.734293,3.827437936859913,234811683.59830916,0.00815981295757745,19018494.847976036,0.046716226631835306,56837349.74152411,2.110005934659636,705578660.6180573,0.26184653923637935,50427921.07854437,0.9462611561754634,173591979.36755717,1.543188375148351,458108432.7067733,1375.9397376477168,165851785929.43408,20345.8411953759,390143530083.3119
max,1667214073021.0,14.305020046994738,4185263732.6660304,1.7267183950566511,811273934.8145756,3.961167605650105,241113315.1532404,0.0126650744313264,29388292.969580475,0.0603506565952975,74186635.526925,2.4259337100930227,807192158.5451496,0.2887691052517769,55898109.14151757,0.9677603602241356,176367963.825323,1.61312238708337,489644201.8178815,1645.0793264231493,198007458455.05585,20924.818454854445,401327721285.5388
