,Timestamp,P_ATOM,M_ATOM,P_OSMO,M_OSMO,P_JUNO,M_JUNO,P_ROWAN,M_ROWAN,P_EVMOS,M_EVMOS,P_STARS,M_STARS,P_AKASH,M_AKASH,P_SECRET,M_SECRET,P_KAVA,M_KAVA,P_ETH,M_ETH,P_BTC,M_BTC
count,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0
mean,1673909625402.7097,12.230253834081969,3580334943.1234756,0.8612891972077306,444385352.95433736,1.3233572241765839,88309435.95145936,0.0003708738464286342,932221.6246617433,0.45982180826146407,184531663.05234632,0.02786588441410156,34109655.43432929,0.2578510027267576,51133540.14694791,0.7486505878334037,144035034.10969016,0.8868147026986435,337814452.43167156,1482.7743016456614,178724718338.33984,20403.839730409534,393093986795.4608
std,784785524.6398131,1.4303557377942202,420101010.7241936,0.11760694618975508,64988424.11698945,0.1610872374128554,11281072.331083843,3.128632116980443e-05,77111.84764664428,0.06855881804129783,28877836.800649762,0.0027002040417478633,1916865.9699114934,0.047931946865619926,9690286.53424295,0.07496046758560118,15139685.142839478,0.18356563827517378,76784703.55769034,167.6551331509934,20286905632.854992,2777.8490350467446,53776796776.94027
min,1672614025190.0,9.451785506763777,2768601210.3914022,0.6887417180798311,349761410.9225658,1.1234623715301952,74328471.72000146,0.00030382631976259166,765693.152966057,0.2876612601497937,112034323.31817633,0.022868956620999706,30123968.716311052,0.19461630439358502,38429730.31936226,0.6088329741627155,115830618.01061404,0.5334753961507477,195379433.64582956,1202.6788468761226,144922270193.1271,16614.18402080543,319698900573.6024
25%,1673262066021.0,10.910816471014392,3192351831.8610983,0.7537218373184558,384499313.38587743,1.1655346625554264,77180666.46870857,0.00034261332609946955,858828.2505739852,0.44409933900361287,177288402.13785285,0.02537500451956312,32861437.938504085,0.22329023213705265,44197749.49266567,0.6682563728502487,127293282.8665505,0.7209718829983314,267346319.93932474,1308.5942740346725,157528613003.7801,17171.88192745139,330751018166.2483
50%,1673910162953.0,12.583227283967199,3685784039.470724,0.8415998749268884,434733675.0940051,1.3009546694350953,86861435.30149029,0.0003726315944128973,947843.531368082,0.4687413262894089,189523675.0617678,0.028419124648536166,34401254.73881868,0.24716369856465845,48958235.5296699,0.7851134213280438,151322247.5079097,0.9404260268206288,359048423.3507531,1564.0998003090403,188290434062.29095,21099.939720759114,406475458564.311
75%,1674558136597.0,13.453661297421785,3935250776.7810698,0.9842519435845487,513225011.2959872,1.4994936040461733,100889243.16855739,0.00039932681817362225,993700.5700301575,0.496954640439055,201574380.87456775,0.029867025095731428,35797189.796954274,0.28690478910883455,56881306.3925966,0.8090584821937419,156413846.37322313,1.0456096109848478,407833222.9923856,1615.180625901074,194813715106.40387,23142.756439888915,446250195779.69147
max,1675191744459.0,13.92584967378437,4075999575.959067,1.0736978273478353,576796564.4968299,1.5916303034601136,107463570.5579369,0.00041357910004933467,1043810.2894676523,0.5666682465223806,225942599.49848765,0.032063409859478094,37126186.500059806,0.36161870750208547,72135831.13560718,0.8310378545246888,160148269.2510995,1.1200079704828534,433192740.3778642,1664.7838706718228,200580362621.62958,23907.560619537162,461704228933.33673
