,Timestamp,P_ATOM,M_ATOM,P_OSMO,M_OSMO,P_JUNO,M_JUNO,P_ROWAN,M_ROWAN,P_EVMOS,M_EVMOS,P_STARS,M_STARS,P_AKASH,M_AKASH,P_SECRET,M_SECRET,P_KAVA,M_KAVA,P_ETH,M_ETH,P_BTC,M_BTC
count,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0
mean,1671230280282.258,9.59728268760625,2806491493.50067,0.8644519683802919,430462705.0004166,1.4796493369236199,96423537.69537164,0.0006984076848403783,1745863.3945924707,0.4204632533999762,156584814.93671688,0.030950182554894234,40538772.33572118,0.21677708907217277,42618320.81481568,0.7176993091010422,135019088.1679995,0.8302704613364743,289912318.84781325,1252.887856738835,150981788304.12466,17090.06769850043,328672852074.0125
std,783218566.3643597,0.5522798120362806,161242645.09505233,0.13234096844878449,62131077.23396622,0.3028248494331252,19070378.57221818,0.0003653631550868256,908880.1953633131,0.12409396915342173,42851972.209271565,0.005893637295087339,7269077.831156438,0.015874980481354772,3013532.8315754677,0.0889382071870954,16092003.973268759,0.13939083618779677,43418670.463398196,45.32528584174753,5398928780.526418,381.84729662125386,7243046900.294007
min,1669935613798.0,8.785601635487865,2567822813.8940682,0.6957394490669098,352195195.4094069,1.157575090362068,76315701.58816512,0.00027770125940761625,685375.669402997,0.287139618364954,110976115.82266635,0.02277268859953203,30408718.577348012,0.19148628087168654,37800304.29591141,0.6075081657672786,115587344.65759976,0.6005002165990871,218470143.87116164,1184.8164059263834,142715014752.63885,16609.13431538681,319722045805.09534
25%,1670583683646.5,9.043132932622731,2643683461.6611853,0.7479500697885889,376133998.46365416,1.2264486418784537,80231599.75482419,0.0003793883562477788,954864.8328392423,0.3183261157997376,122046732.29004936,0.025463454537761714,33818266.43548544,0.20521083304372412,40441535.2489703,0.637269689772755,120978422.52902463,0.7191158865760076,253973994.99462122,1218.7591229969485,146917182566.58936,16854.767714259186,324453262040.76624
50%,1671231719234.0,9.510472527860728,2782782617.1276493,0.8750726358295863,434948642.20572555,1.3709373413361374,89203449.1145432,0.000517955511760112,1300079.1745059588,0.37691720051225025,141196385.97217473,0.030224602358807022,39646138.39086668,0.21328869845787884,41982469.167454205,0.7094451919740128,129957699.20245336,0.8653052488165044,298165954.39484614,1267.2388136020413,152641311567.34933,17053.793721625203,327872540694.3479
75%,1671879686522.0,9.994212442677519,2935209110.03533,0.968511460535501,476770115.32686996,1.6987500520936865,110074977.63793784,0.0009968080598831434,2494979.353800215,0.5040242498865959,185765188.90149096,0.036586767913251106,47593535.24531776,0.22790446581107943,44738407.62082772,0.8072045219979126,151514715.88153815,0.9523878852294713,321609673.5571619,1287.2795773534763,155067779748.438,17224.53183313636,331247888419.75494
max,1672484437972.0,10.540746683809088,3092738506.6129947,1.2234619942231524,607072511.7409565,2.0136679426363804,129851644.27336104,0.0013505279551123417,3389672.7484445735,0.6551530497080421,236681166.2233038,0.039729140964406065,51487534.91079682,0.2555890434316132,50067376.50923535,0.8548762824700096,159692155.25327617,1.0777136595038432,372048272.73209274,1343.4152068424987,162241822448.48328,18320.817235248396,352371872285.8553
