Date,Index,Timestamp,Marketcap,Price,Date,Circ_Supply,Bonded_Ratio
2022-06-01,16,1654124557255,3053615653.6826115,10.445806688055717,2022-06-01 23:02:37.255,293357882.4493059,62.5
2022-06-02,40,1654210989364,2824612798.260025,9.636727245690237,2022-06-02 23:03:09.364,294201054.58259124,62.54
2022-06-03,64,1654297330253,2830619688.457851,9.674482386417273,2022-06-03 23:02:10.253,294193871.26533693,62.68
2022-06-04,88,1654383873370,2699309019.952298,9.212816342570523,2022-06-04 23:04:33.370,293949384.8128374,62.75
2022-06-05,112,1654470002695,2728838117.24514,9.342251113319776,2022-06-05 23:00:02.695,293877525.60784626,62.67
2022-06-06,136,1654556510531,2847909936.1046886,9.73166750461766,2022-06-06 23:01:50.531,293951531.2267985,62.7
2022-06-07,160,1654642923668,2772685767.7011065,9.468175608629252,2022-06-07 23:02:03.668,295156743.60741657,62.84
2022-06-08,184,1654729286073,2741937032.8759828,9.341483599200206,2022-06-08 23:01:26.073,295724004.904196,62.96
2022-06-09,208,1654815708398,2682907637.3873897,9.10321805323524,2022-06-09 23:01:48.398,294720792.32836753,62.95
2022-06-10,232,1654902133963,2628130381.798031,8.973260649210529,2022-06-10 23:02:13.963,296574665.1469571,62.94
2022-06-11,256,1654988549372,2439672299.698066,8.338303724905543,2022-06-11 23:02:29.372,295807745.57386196,62.87
2022-06-12,280,1655074925026,2230006888.572041,7.644243177848392,2022-06-12 23:02:05.026,294627558.4965992,62.56
2022-06-13,304,1655161464676,2105090453.5564933,7.134213352669133,2022-06-13 23:04:24.676,297026843.8737418,62.58
2022-06-14,328,1655247628825,1972228186.442412,6.749828671763865,2022-06-14 23:00:28.825,295404942.56636715,62.63
2022-06-15,352,1655334104762,2123202747.846914,7.230292615192684,2022-06-15 23:01:44.762,295696040.34949875,62.63
2022-06-16,378,1655420553676,2130438688.198384,7.307593387641837,2022-06-16 23:02:33.676,296648388.118718,62.92
2022-06-17,402,1655506900392,1912552229.576948,6.564335582958612,2022-06-17 23:01:40.392,295871341.6541358,62.75
2022-06-18,426,1655593275279,1888548085.0415869,6.4452505481109,2022-06-18 23:01:15.279,303654748.19349456,62.63
2022-06-19,450,1655679688749,2000279470.1136985,6.834853745041461,2022-06-19 23:01:28.749,295386963.03164417,62.37
2022-06-20,474,1655766093916,2024811151.3534176,6.939186956830596,2022-06-20 23:01:33.916,297770209.37395346,62.09
2022-06-21,498,1655852452272,2097175546.805604,7.140426576268679,2022-06-21 23:00:52.272,294320029.2604066,62.12
2022-06-22,522,1655938905262,2173092618.1912646,7.381456096876061,2022-06-22 23:01:45.262,296269397.3252743,62.17
2022-06-23,546,1656025209550,2372415555.5578785,8.108433852522046,2022-06-23 23:00:09.550,296341265.14393264,62.21
2022-06-24,570,1656111705954,2477471057.266276,8.447443414567367,2022-06-24 23:01:45.954,295200880.17654794,62.23
2022-06-25,594,1656198098296,2519767694.364831,8.585610188404587,2022-06-25 23:01:38.296,295681730.0773391,62.18
2022-06-26,618,1656284626356,2530263884.440874,8.676072597338717,2022-06-26 23:03:46.356,296554612.3906916,62.21
2022-06-27,642,1656370902365,2498669338.5560927,8.55198307876915,2022-06-27 23:01:42.365,294070701.49964327,62.18
2022-06-28,666,1656457292532,2331694483.985585,7.9472458897669185,2022-06-28 23:01:32.532,294726179.6643913,62.17
2022-06-29,690,1656543755722,2173028860.019872,7.427157837459334,2022-06-29 23:02:35.722,294487109.21009123,62.15
2022-06-30,697,1656568951119,2215473222.6393147,7.572036878497221,2022-06-30 06:02:31.119,294797047.2994806,62.22
