Date,Timestamp,P_ATOM,M_ATOM,P_OSMO,M_OSMO,P_JUNO,M_JUNO,P_ROWAN,M_ROWAN,P_EVMOS,M_EVMOS,P_STARS,M_STARS,P_AKASH,M_AKASH,P_SECRET,M_SECRET,P_KAVA,M_KAVA,P_ETH,M_ETH,P_BTC,M_BTC
2022-12-01,1669935613798,10.4756585639399,3064586333.0931015,1.0084128197694948,494286663.94104975,1.9093459203721785,123165764.76564042,0.0012307265210164996,3088407.693921375,0.6551530497080421,236681166.2233038,0.03827965917131684,49415005.6220632,0.2555890434316132,50067376.50923535,0.8196735527857639,153342530.0394005,0.9459792028994883,317536994.74420345,1288.7843699669652,155309992662.7303,17171.55740138808,330067589538.8201
2022-12-02,1670022053529,10.393187993375133,3029031631.617938,1.0028610118560923,492533528.7105441,2.002561230391536,129058256.38493767,0.0013160544965237673,3291858.3311738395,0.6462667219946967,234377000.50419602,0.03930722885144751,50743637.25871412,0.2543649616708702,49810293.9433459,0.8545018237172619,159692155.25327617,1.0315069246056878,345427887.6226577,1293.2626769927328,155979396007.77658,17081.150167124026,328166683858.7731
2022-12-03,1670108501760,10.39219073849042,3027571113.8634653,1.0054226815691205,493478192.51335853,2.0136679426363804,129851644.27336104,0.001219849758762545,3025730.149780495,0.6164049950455956,223355907.89026967,0.03955624205525521,51033257.97526878,0.23938162968839483,46838624.527634524,0.8548762824700096,159624531.50910503,1.0178775775460973,344149322.72002006,1299.0333859445502,155834250180.29254,17146.572922646876,328696138805.75323
2022-12-04,1670194877741,10.265500697840524,2998060813.7283764,0.9908556090417275,486978003.33486086,1.9528527527285486,126141911.52080101,0.0011413185059911746,2858063.9305203357,0.6348347481055002,230833592.91487953,0.0391511299603519,50662205.180969074,0.22989410911291425,45241471.308648,0.8336072248680984,156158239.63909617,1.0209129863026227,344613329.1266136,1279.884692362143,154459152653.8497,17121.49073038419,329150694584.03094
2022-12-05,1670281251891,10.540746683809088,3092738506.6129947,1.006435923164746,494986532.0173288,1.9544000770358692,126328013.59098399,0.0011958900484274363,2806677.304784449,0.6207288025631171,226610787.33828068,0.039729140964406065,51487534.91079682,0.2351328053163755,46000694.236911185,0.8475594801013435,159672938.50794208,0.9639677930862729,328508097.5183478,1302.2175639645632,156811630263.66214,17362.294935265112,333683128174.3897
2022-12-06,1670367611826,10.376093485339679,3029218786.8468246,0.9821616749001622,483489244.3915317,1.9054347859815624,123312699.02913062,0.0010991600106267678,2764369.540497026,0.5783306567322614,212440848.8459343,0.038092754840260465,49124743.6829794,0.22268401483172226,43682543.93706696,0.814699075835006,152633750.3242976,0.9301601447392995,318201133.7280508,1267.2388136020413,152641311567.34933,17053.793721625203,327872540694.3479
2022-12-07,1670454056975,10.170524362516378,2971515827.0193367,0.9548612461708399,470050986.2622082,1.8119789313747587,117214961.77595235,0.0010274182197988425,2562894.814067753,0.5248789695588189,192877033.29523543,0.03611832156547759,46799066.8733402,0.21593147694380624,42241715.45081133,0.8120631897326241,152502478.84380034,0.8878297300323419,303036258.8370673,1271.9354761263946,153147234367.6506,17088.005860286976,328615662106.6066
2022-12-08,1670540463124,9.834406500472065,2879783627.3420773,0.9183266139343949,453766959.5020754,1.7039439995549903,110376063.35894832,0.0009661978999674442,2427063.893532676,0.4802224000336639,176550904.9225178,0.03445354480903009,44826256.79461667,0.22733561233138475,44603780.35755617,0.7917401000226808,148434273.56470466,0.8723836421927641,298165954.39484614,1286.335907435655,154884214611.88165,17253.400910147215,331875548110.77673
2022-12-09,1670626904169,9.877890265144156,2893563467.193985,0.9242681609086264,456863339.01206636,1.6935561046323826,109773891.91692735,0.0009653502409020527,2423492.4102460686,0.5010227493875756,184001800.94197127,0.0347643047996397,45271137.57522569,0.2292031375431397,45103560.63071943,0.802345854263201,150964061.09066534,0.8927085515780716,306273164.5166916,1288.2232472712976,155251344884.9943,17258.847909851593,331880766211.6571
2022-12-10,1670713259136,9.99318981380112,2951904502.5709777,1.2234619942231524,607072511.7409565,1.68333027106636,107880378.00485758,0.0009239552836049326,2316500.8748469516,0.5070257503856161,187528576.86101064,0.03892246266870202,50343632.06288385,0.23528828992999762,46019260.393103935,0.8174779773078042,152065370.672411,0.9926951836077997,341802754.9412084,1278.3822169919422,153989824255.62088,17217.40693591455,331133338458.6294
