Date,Timestamp,P_ATOM,M_ATOM,P_OSMO,M_OSMO,P_JUNO,M_JUNO,P_ROWAN,M_ROWAN,P_EVMOS,M_EVMOS,P_STARS,M_STARS,P_AKASH,M_AKASH,P_SECRET,M_SECRET,P_KAVA,M_KAVA,P_ETH,M_ETH,P_BTC,M_BTC
2023-01-01,1672614025190,9.451785506763777,2768601210.3914022,0.6887417180798311,349761410.9225658,1.1320030118509044,74730040.5356998,0.00037179243209400025,973370.4342700165,0.2876612601497937,112034323.31817633,0.022868956620999706,30596080.38298673,0.19461630439358502,38429730.31936226,0.6088329741627155,115830618.01061404,0.5334753961507477,195379433.64582956,1202.6788468761226,144922270193.1271,16614.18402080543,319698900573.6024
2023-01-02,1672700489494,9.974201007457236,2915909236.2137265,0.7204694711562792,365055994.2066379,1.15716820210284,76596386.80164205,0.00038517493419613485,966547.0994854034,0.30528239892635706,118809826.69798765,0.023783346158099062,31703452.23950787,0.2023043865687801,39926887.4070134,0.6235094321302047,118952729.87920037,0.5526542131713122,202796371.91562647,1219.0904597884494,146926822957.1698,16743.52305034838,322396791692.26355
2023-01-03,1672786891448,10.20917097537717,2990351371.6430435,0.7384940642769061,376220921.76615757,1.1436500574549104,75443675.67816357,0.0003683436225887794,923674.6289572751,0.32847969157585144,127986081.54212195,0.024721755901366344,33119919.884215996,0.2029094548126842,40098882.700099304,0.6192375248514663,118042290.23126085,0.6425903222163262,236173981.35291842,1218.26684268329,146746576168.95654,16750.982601171854,322372891133.83813
2023-01-04,1672873219771,10.352223310955484,3029640473.9817886,0.7396750863883319,376562329.69915855,1.1475066179946323,75857268.6552114,0.00033785702267544177,839033.6468976282,0.3675382303511607,146884623.55441043,0.024710208098756313,33106435.143011767,0.20799004737111945,41131720.0195788,0.656868000208933,124834216.737056,0.6431587043588587,236979058.03635404,1264.4969528524816,152384961610.52625,16972.97281021798,326359924088.8948
2023-01-05,1672959711624,10.202534563314865,2986606024.059307,0.7341254528796456,373797636.84671706,1.135567845704488,75058915.0689394,0.0003174851035006527,832228.1444632842,0.36766332431894916,143473337.76197165,0.02416173879884812,32195573.185111556,0.2060143671096124,40750750.83941364,0.6491127295772311,123711469.20082355,0.6720233273953777,249843563.82919925,1256.4366037834864,151347576435.77948,16861.25234132466,324588955174.436
2023-01-06,1673046119387,10.26746470523488,2999456087.558677,0.7252144236909688,369437648.7528976,1.1234623715301952,74328471.72000146,0.00030382631976259166,765693.152966057,0.46554698804708367,181699016.98440182,0.023697178470437303,31653909.92578667,0.20575911912399686,40644071.065771334,0.6416474687951226,122410184.83107191,0.664105900412911,244804745.349634,1275.7798718281385,153008441276.42328,16973.129952472686,326639765979.301
2023-01-07,1673132506392,10.32588713514139,3026280535.2942095,0.7258278613921434,370546728.081736,1.1266136407885328,74663941.8261039,0.00034234783685930126,859041.9805993189,0.4516511998209323,180691300.50652385,0.023793024242112982,31790827.48926687,0.20902439942211623,41377566.4662509,0.6463536602751434,123405284.7203797,0.6814743996595839,252643964.7684547,1270.4051733727624,153043377536.71133,16973.698806958804,326631680785.54767
2023-01-08,1673218918756,10.474606828149149,3068804021.826127,0.7344821430368722,374995709.41280115,1.1437054032015868,76004268.8208398,0.0003277151035509814,812654.1279056923,0.46290713981986,184493560.5477814,0.024858460647129134,33304835.492017582,0.22735343819024945,44967226.55228337,0.645273579194875,123150653.18106726,0.6745687170273371,250624893.9103452,1271.8629302214276,153365469913.51285,16984.39248343312,326980546534.4716
2023-01-09,1673305213286,11.400814522990492,3341515378.3750825,0.7678031175920706,392436297.0725963,1.223101479310693,81181926.88442503,0.0003398012318543811,857978.6988490578,0.44417499480196904,175505177.33873573,0.026942225053501773,36044857.91353618,0.2380591306471578,47144332.59034829,0.6796447454915645,129752348.99604502,0.8304126298842859,282048675.1101948,1341.4086762412064,161691756094.0473,17359.371371469664,334521489798.02496
2023-01-10,1673391698188,11.347026113879636,3315899641.8960695,0.7677685882485797,393156324.0258181,1.1739011230080127,77764946.13577509,0.00032759024470849446,822324.8251558363,0.4153745934743346,164300552.96651605,0.026606362328830534,35599073.00447596,0.23302800592176573,46161383.2809451,0.765094597377417,151051198.10494292,0.776643584836213,284612227.63381916,1341.82128688901,161710318353.58447,17489.89909542594,336510525884.6155
