Date,Timestamp,P_ATOM,M_ATOM,P_OSMO,M_OSMO,P_JUNO,M_JUNO,P_ROWAN,M_ROWAN,P_EVMOS,M_EVMOS,P_STARS,M_STARS,P_AKASH,M_AKASH,P_SECRET,M_SECRET,P_KAVA,M_KAVA,P_ETH,M_ETH,P_BTC,M_BTC
2022-11-01,1667343804778,14.170188004188173,4142003735.099606,1.5606240841766514,739628217.1057553,3.012278326822792,190353234.5136801,0.008190946355689281,19337590.45256819,2.0729781909938074,696410349.0459914,0.053762775385589955,66496929.417457335,0.26066242047598864,50578251.931510285,0.9134502844115773,168963627.45397857,1.4494663208434746,447333866.6730139,1597.0895459257854,192467545345.11337,20548.295047447307,394506739092.55914
2022-11-02,1667430127073,14.116630592629102,4134455066.325952,1.5537948347324158,736162906.8046275,2.995933560553082,188373429.11811754,0.008155915418929677,19353694.69837428,2.0030256950759413,675385651.376551,0.05590097348389281,69311317.91336335,0.26125135558894513,50673041.37982297,0.9151712421671463,169187854.8820103,1.4175549649857506,438059223.6415918,1592.1269553137977,191898518986.7314,20592.47780777743,395239013582.60114
2022-11-03,1667516476947,13.829077441702946,4032867921.171375,1.5378320553729148,729273869.715658,2.9223636398630775,184067404.97299007,0.007961891142654309,18932107.3231511,1.9001960439534349,641169979.200287,0.05767679883999235,71609257.92702402,0.2753824354806664,53439172.73098566,0.9339887860414173,172878478.1979489,1.4241240368714805,442719892.6896743,1554.5454361898683,187371752108.58994,20368.683662258176,391043181537.3255
2022-11-04,1667602863363,15.12328024848933,4436666317.489195,1.6408596815638392,777891029.9590285,3.2448431387902072,204310184.640343,0.008283615059665097,19694254.973028816,1.9909446880468809,675326939.0480446,0.06340466358699556,78586832.01249519,0.3077793911846497,59101179.95013615,0.9761070392833638,180980746.53640807,1.45416842910486,452680020.07240164,1659.611355492511,200176134022.79932,21234.3186113337,407608603869.61993
2022-11-05,1667689238659,15.723658281036517,4588728984.621137,1.670271604921642,794848622.6852355,3.2939915126898596,207874760.464577,0.007915759779121666,19511450.131933667,1.994372932278931,676861520.4633924,0.0658434475169228,81859640.98918854,0.34807280454557044,67671244.75048855,1.000024805958611,185562153.1776323,1.4835986081879418,464306493.64571494,1653.9871036170389,199277056072.33374,21417.69311311931,411301305782.0186
2022-11-06,1667775653485,15.402044023457346,4507497415.224252,1.639505400998618,781017960.8452306,3.1617859803231974,199619338.5084004,0.00808497078545445,19986934.78276211,1.951048599515794,666283760.1513143,0.06406472069706508,79750472.24371368,0.34489440941831045,67025430.37371943,0.9770385351618239,181059848.6551574,1.4748321958007764,464307893.0734039,1629.9507968779326,196626464125.6405,21311.192355995347,409229231946.40546
2022-11-07,1667862069092,14.733834584151264,4313236942.033141,1.5761286063940896,751804261.8235035,3.0058660530143393,191388138.2879959,0.008408928627207162,20823122.15644878,1.8458711322961103,627029635.4646065,0.062000084549575625,77177894.24329528,0.3316972735989263,64445912.45260731,0.9488045453679088,175824149.65263268,1.405579287130042,444651561.96784306,1605.9003712637161,193192509385.41425,21011.162050344992,402695062622.98785
2022-11-08,1667948433890,14.316281802451696,4187798545.62795,1.5484003759762308,739322928.0475365,2.9282560604655266,185129859.60309076,0.008423590340194523,21020682.61784264,1.7714762881454955,606705353.7775674,0.060857163077165356,75913749.7671226,0.3169690115463157,61554490.94037708,0.9353279766772101,173791604.93933234,1.3607381505150646,430092446.47184694,1571.009749808932,189594109785.5764,20630.391655820804,396434615559.9275
2022-11-09,1668034911970,12.211044244180009,3595429734.939987,1.3523497725114866,644044156.0251728,2.65280890425018,167687588.3480223,0.008000141419895447,19745810.930942968,1.6531051018889305,564434379.2886481,0.055906452960522095,69084290.57605283,0.29094315997135595,56417766.29793529,0.792693060096364,147693667.82328075,1.1587737196702141,367378203.4614848,1333.068367201545,161012021506.26013,18595.475462325707,358844691276.1943
2022-11-10,1668121299629,12.411441429773287,3640367337.832039,1.3098138056232844,627774049.0831885,2.629672521547124,166282438.68418148,0.008891911660351984,22036573.359085683,1.5350993563104887,528706392.34077716,0.05169546086158511,65295772.45334124,0.26820381645217556,52237001.015653454,0.7805624906816686,145614074.8651073,1.067238091535384,338983866.228248,1330.4219208214768,160602066409.49484,17892.36001260941,344152731467.85956
