Date,Timestamp,P_ATOM,M_ATOM,P_OSMO,M_OSMO,P_JUNO,M_JUNO,P_ROWAN,M_ROWAN,P_STARS,M_STARS,P_EVMOS,M_EVMOS,P_AKASH,M_AKASH,P_SECRET,M_SECRET,P_KAVA,M_KAVA,P_ETH,M_ETH,P_BTC,M_BTC,Date
2022-10-01,1664665312215,12.899762708134093,3774392209.685355,1.0945581570156786,499570935.6007247,3.860663305590304,235253205.5187975,0.0049868149226508,11251651.38749924,0.0347201887500405,40246921.73336635,1.4084226188015312,438167151.8489931,0.25828154789371915,44450287.60243381,0.9469763344587733,172544878.0208312,1.522003174797814,432706790.90451413,1327.3490448169068,160374719220.70847,19355.472897262636,371006202451.96094,2022-10-01 23:01:52.215
2022-10-02,1664751710696,12.851311120480919,3755397201.204228,1.096047096093451,500430084.829339,3.9015628373213027,236494446.4214832,0.005512416116416945,12426378.527463246,0.034790450642681076,40306904.49921799,1.5601970013365094,485073899.4227933,0.25804878727235175,44365872.67526005,0.9399661224568651,171292620.55890438,1.5211860077232187,432856857.46210223,1314.8993951346843,158954183291.88757,19351.99857157035,371098101602.4235,2022-10-02 23:01:50.696
2022-10-03,1664838050484,12.87837962422061,3763050528.199599,1.1033649514007455,504304857.27191997,3.86911797411489,236259825.92997476,0.006008930419798829,13572328.85126209,0.03504999450660971,41179397.84724274,1.5715010868256079,491999742.0430229,0.2615073194532102,44980913.13032146,0.9372969624886377,171122878.18482652,1.5198833872688222,434052261.1010815,1326.8193919271148,160317730168.22537,19622.60092433398,376015238901.4181,2022-10-03 23:00:50.484
2022-10-04,1664924477977,13.297098071450847,3883050921.341961,1.108995048019274,507845973.0171277,3.961167605650105,241113315.15324038,0.006180524369555657,13998825.995488768,0.03499731355147289,41011796.304304644,1.5704498091925272,493584247.79077536,0.2645255218271883,45428567.683976434,0.9677603602241357,174778009.93673706,1.5867690123002882,453106310.66840744,1362.1791205009051,164689753885.7285,20346.28387064516,390109318659.1468,2022-10-04 23:01:17.977
2022-10-05,1665011185855,13.101734205848201,3829625307.428292,1.1018886446642182,506230037.47141016,3.9271483784304113,239075164.70816025,0.005813914834919481,13212287.042101813,0.03520644450653863,41494235.42977324,1.5697627131509408,493466018.43723917,0.26209670387906736,45095052.98133384,0.9566035101734817,174674197.79091775,1.5936062665813726,457548294.84322727,1363.2371821945037,164781680358.15567,20345.398520106643,390177741507.47705,2022-10-05 23:06:25.855
2022-10-06,1665097799921,13.398695354248199,3913909298.73605,1.1047428391277387,507935109.53235966,3.9225140955117253,239438867.01256028,0.0055838388145274444,12714660.933093514,0.03573144207886397,42401960.11280156,1.724481493605924,543353096.4905303,0.25434555244945656,43852433.45891742,0.9583718732551443,175648128.22996756,1.5701217116877042,452360588.6637268,1383.4557668052082,166878526585.83566,20420.507309657056,390997174882.45416,2022-10-06 23:09:59.921
2022-10-07,1665169755783,13.052055923572597,3818850972.739165,1.13622099166875,523694224.449119,3.8251957667839283,234700293.05695012,0.006310691257447211,13003281.683486653,0.035708526693492816,42550861.68188472,1.6949096717539125,533007455.2968816,0.25387576523961014,43757568.89393578,0.9487815331992969,173534325.7751019,1.5299740215532311,441362649.1776722,1358.315772060479,164088434146.51395,20042.5610462963,384178480037.1116,2022-10-07 19:09:15.783
2022-10-08,1665270542710,13.328274432938287,3899668686.7726026,1.1425869959663695,525890397.4102473,3.843574185468427,235687445.06517825,0.007257307429426799,16593086.39402292,0.0372876524960228,44437189.030161925,1.7466789092394144,552039650.9185314,0.2595493614597474,44733159.818355985,0.9365465921154521,171401154.3332509,1.5424149055279175,446731047.7409534,1330.8348750375555,160765197112.6002,19529.940881167193,374471671297.4437,2022-10-08 23:09:02.710
2022-10-09,1665356684785,13.234960879892203,3874032107.6998873,1.1334055553181495,521873869.26008415,3.8296801069358986,234923074.1396682,0.007445159365161732,17069620.04979574,0.03713149119184981,44278383.70813822,1.7266839219904488,547971963.4226108,0.2593509146154922,44716267.25877792,0.9299932518024202,170345588.5137684,1.5439618447687846,448023229.2971617,1326.6321612610066,160536940562.08078,19538.645102325067,374640194481.1234,2022-10-09 23:04:44.785
2022-10-10,1665443181946,13.217372400178924,3868277909.942015,1.1359489917136483,524702029.82965153,3.78871652921135,232191786.7969073,0.00845889021752666,19451717.13684668,0.037053856575576104,44323084.19740811,1.733492637093697,550645824.8147799,0.2615963745936914,52729452.549369164,0.9236092528499859,169386484.38779095,1.5538623258512747,451387576.78653723,1331.2135247221272,161071263634.82767,19505.90837096838,374156127219.2239,2022-10-10 23:06:21.946
2022-10-11,1665529780838,12.515161936153273,3658425668.4515023,1.1183566314337652,515666290.48738986,3.546788939519249,217280811.88928553,0.008248776542598524,18954737.975972474,0.03888023122633399,47563091.70902267,1.616197571722788,514424118.7936346,0.25988256995021985,52401141.24035247,0.9008891103652278,165323155.42637542,1.500076550453618,439956268.96632236,1296.5880141515872,156803561402.39056,19201.583301663635,368439537881.25586,2022-10-11 23:09:40.838
2022-10-12,1665615745266,12.16514695579542,3560359708.017931,1.1132914648424137,515456419.7290896,3.368398912861149,207488099.41761348,0.003899543154476751,8925389.90464449,0.03784326746620345,45392474.8117435,1.5802789960905999,504533789.15621156,0.258559417843011,49693521.64734793,0.8821261624378907,161401274.80946112,1.4805530431600165,432910521.4192672,1303.3675895055314,157624189230.81436,19187.53482170786,367909803354.3937,2022-10-12 23:02:25.266
2022-10-13,1665702779263,11.767984949054357,3443074326.8624415,1.1599761125049513,537547951.068173,3.282782383386426,202393181.64942098,0.010392021217862764,23996084.493732646,0.03876596434514869,46501876.48097273,1.5793380524728187,506969701.49129504,0.25756804567795,49709430.60164648,0.8939043818252146,163653896.3323069,1.4716888610306174,430928363.86991066,1296.3416344115199,156768361510.4922,19417.047285905723,372492527933.27435,2022-10-13 23:12:59.263
2022-10-14,1665788577996,12.205766033863467,3569396266.3329186,1.2214206733846646,565512486.451897,3.4056353458544377,209642380.6684773,0.010798177578894619,24963574.66753654,0.0404166649652584,48882678.81374594,1.6435728257049087,528568361.1728594,0.2605265722172166,50313257.00737872,0.9195538797394472,168937375.9479987,1.446731034479269,424619231.2646424,1336.2050212392928,161606989978.88992,19872.748771742114,381278957155.68463,2022-10-14 23:02:57.996
2022-10-15,1665875137098,11.71815192255972,3425163663.1550293,1.1881274001600164,550334885.3578516,3.2549872860733244,200785070.64419454,0.011744845961145585,27288544.795826916,0.03962922030626557,47830586.9633563,1.6031416502432876,515935301.2191688,0.25677412551232504,49531636.80700335,0.9334326454528514,171162505.03306416,1.3922693694309436,410851966.25801724,1300.2855712886285,157197548604.51917,19204.30682173264,368303424265.02313,2022-10-15 23:05:37.098
2022-10-16,1665961568729,11.802900000481342,3454575555.717876,1.1921903695144036,554599211.8528893,3.2636037559319004,201931555.51869935,0.012665074431326499,29388292.969580475,0.039504743661553994,47607842.74424238,1.6145534953688938,521970210.1296961,0.2574171302773399,49679327.93347745,0.9552225568993736,174392263.06350213,1.4164649098131092,419003782.7590895,1310.7562814000037,157969352934.85623,19334.63933843128,370860133980.3677,2022-10-16 23:06:08.729
2022-10-17,1666047856553,12.394817909986823,3628869962.7912073,1.22722812979197,572014396.9054252,3.3044480975201815,205103818.71706715,0.012652969880451465,29360151.143927217,0.04140748160202626,50163438.24613086,1.696193069099063,552065682.4826527,0.2630158481490729,50417085.964808956,0.9455459778921537,173649632.9600124,1.430768129133052,424664957.75761825,1331.9504138284858,160450707465.29865,19601.539194645306,375952463247.86194,2022-10-17 23:04:16.553
2022-10-18,1666134221572,12.69090945130714,3721233182.896701,1.2385434639471282,576509372.5631608,3.306423221960415,205196806.4969733,0.012637680205147587,29385564.18727504,0.044029126134709086,53328949.89149042,1.7672842809468765,565518010.2126391,0.2645485881293438,51153623.44717402,0.9326994042421345,171667003.84403905,1.4283941029267004,424694696.5029373,1337.1479570987985,161355677299.37314,19660.63009146628,377316099622.1329,2022-10-18 23:03:41.572
2022-10-19,1666220614774,12.526830792136487,3670449569.279014,1.2019400706221512,560451904.7393337,3.1669219062611855,196558107.23584905,0.006208622066822189,14465270.422552606,0.046677306310682544,56627054.13038546,1.702923686409224,554557937.5271796,0.263942047383827,50987289.27058809,0.8977466648995822,164911823.7748026,1.4130908161523823,421827247.00191385,1309.9408795534412,158082173402.60727,19330.455739126475,371196833238.99286,2022-10-19 23:03:34.774
2022-10-20,1666306923386,11.946385980975156,3489169153.1519475,1.1723141122211478,547257303.2751088,3.026927918765935,188315011.81148297,0.005963893509548183,13916741.045275616,0.04571235609035742,55551499.34888053,1.6911380908758704,555396487.6509447,0.25605956059327406,49513341.69084527,0.8768779726693456,161167830.62042022,1.465302227174868,439805224.8771557,1305.2240035830775,157314972782.48273,19305.345930702806,370241480100.5644,2022-10-20 23:02:03.386
2022-10-21,1666393205941,11.583050514813293,3394115958.963058,1.1623770490769576,543991342.6636037,3.031899966264705,188617922.12962288,0.005891663680644713,13777710.596432583,0.043896080227246705,53476603.69207478,1.827291119618681,596670857.0535061,0.24888526750772116,48072812.48570437,0.8757684799862661,161368590.27218705,1.4339245713496582,429623164.5874387,1302.017223251319,157142103456.3239,19217.74515555127,368650644146.73804,2022-10-21 23:00:05.941
2022-10-22,1666479743842,11.829673299445764,3463699638.3544526,1.1827965306502741,554129814.0776427,3.0747258244738993,191112640.24022743,0.0059891617823841295,14032566.833823897,0.04631955427994493,56459459.54340664,2.0944299180872235,688054331.5367546,0.25067132614997184,48468640.87432935,0.8804630673219203,162047572.8295518,1.4467081618877093,434826630.0429493,1317.4595988615754,158664267474.0204,19226.74239657363,368902573030.8513,2022-10-22 23:02:23.842
