,0
index,inf
P_ATOM,0.024139363721832785
M_ATOM,0.023284811925530224
P_OSMO,-0.09203941770398327
M_OSMO,-0.06130651319162961
P_JUNO,-0.2671770127965597
M_JUNO,-0.2409386235098584
P_ROWAN,0.20630763058696555
M_ROWAN,0.2654390851981532
P_STARS,0.11920424553341502
M_STARS,0.17482829237847364
P_EVMOS,-0.39415991907215264
M_EVMOS,-0.34181534667164526
P_AKASH,-0.23874476408979362
M_AKASH,-0.22993442822266463
P_SECRET,-0.12193683537758249
M_SECRET,-0.1042191083553361
P_KAVA,-0.11765534059606897
M_KAVA,-0.0011731528303541294
P_ETH,-0.15377239251691088
M_ETH,-0.1519324829566494
P_BTC,-0.02519016216615544
M_BTC,-0.02091305238864949
