,0
index,inf
P_ATOM,0.10893668129062117
M_ATOM,0.10885766506362282
P_OSMO,0.43290947887874554
M_OSMO,0.4878351546832649
P_JUNO,-0.18749112931743417
M_JUNO,-0.16091280449489853
P_ROWAN,0.6184377198154059
M_ROWAN,0.6959512042099243
P_STARS,0.5821805045036377
M_STARS,0.6928163069030226
P_EVMOS,0.5020327431441611
M_EVMOS,0.6193698593190575
P_AKASH,-0.004140451643431908
M_AKASH,0.12357654476011426
P_SECRET,-0.023208582656282006
M_SECRET,-0.007832684109349897
P_KAVA,-0.02165582347126882
M_KAVA,0.05999854915966485
P_ETH,0.22123169588059732
M_ETH,0.21768751276724285
P_BTC,0.07134782186074462
M_BTC,0.07341797588960164
