,0
index,inf
P_ATOM,0.16715050186663793
M_ATOM,0.17670503786331726
P_OSMO,0.14684736104419427
M_OSMO,0.19130228897789214
P_JUNO,0.2949827037924364
M_JUNO,0.34589296596455266
P_ROWAN,-0.49143559280053595
M_ROWAN,-0.422151158464787
P_STARS,0.09510750950903346
M_STARS,0.2114013934423853
P_EVMOS,0.5859430166708386
M_EVMOS,1.2206613442251113
P_AKASH,-0.13875200622547024
M_AKASH,-0.12744912895988159
P_SECRET,0.07043252447822157
M_SECRET,0.08238127922233951
P_KAVA,-0.11514687881508212
M_KAVA,-0.06464643252184477
P_ETH,-0.04670615957385105
M_ETH,-0.03946301514425987
P_BTC,-0.13105131434457318
M_BTC,-0.12664141068265178
