,Timestamp,P_ATOM,M_ATOM,P_OSMO,M_OSMO,P_JUNO,M_JUNO,P_ROWAN,M_ROWAN,P_STARS,M_STARS,P_EVMOS,M_EVMOS,P_AKASH,M_AKASH,P_SECRET,M_SECRET,P_KAVA,M_KAVA,P_ETH,M_ETH,P_BTC,M_BTC
count,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0
mean,1658010513040.516,9.694698086861312,2838182083.4092784,0.9210971681885226,382232402.8168788,3.2208337624025667,177519187.5878136,0.007042862517698595,12027640.79904268,0.025545589511989687,25373571.27178199,2.1433779310477954,435157029.540472,0.3018560816734064,50256395.736016355,1.110220748060793,195129336.38013226,1.849702446712008,422252969.54059184,1386.7781365930819,166237957623.46802,21898.03830865797,418278317468.38416
std,782258252.7247607,1.0017183638055713,290707035.65360534,0.08709410956099511,40129213.49054593,0.6011248110052947,35235065.30528011,0.0005977299393568804,1467825.6040829862,0.0029056414849525465,2892795.737092775,0.36558373420102114,74119961.46369764,0.05305627825608287,9030064.285051374,0.12231561033681015,21963056.162641175,0.09706278926897384,27251062.46940053,237.05922217552958,28743196472.024517,1562.3586800117407,30087499308.797108
min,1656716535735.0,7.969563167522164,2334748204.231886,0.7707212949866337,318444344.7230464,2.524952893718505,137791041.86811268,0.0061719565834953,10233307.638777316,0.0207311634629755,20614136.938535493,1.4432182400220888,294143924.4018133,0.2401609869710257,39809162.86854866,0.9310626706218292,162909431.53896502,1.6366962318332134,370650793.2170217,1074.17037112734,128288558332.95256,19378.141016164303,369801416990.2413
25%,1657364558575.0,9.032138341161872,2643911370.8329496,0.8570646175499079,352373734.9308913,2.758196402174031,149698395.69431537,0.00668151554789645,11033461.770964926,0.02338543256475805,23311115.481372215,1.875173853303835,381355137.8642312,0.24684846643167535,41099293.03981577,1.0090181009465824,176064231.15253198,1.7928169616703316,402910549.8715767,1180.243332752733,141134841143.3224,20607.71498741507,393504558915.1029
50%,1658012510863.0,9.480434878602544,2772901402.6533,0.8975940944735967,371842181.8102142,2.949866074215575,161544684.20455688,0.0068834610300436,11477880.729251292,0.0247656249379477,24598138.29406481,2.167860760207223,435868666.43495214,0.2899144193548428,47401419.59034925,1.1167599891250932,196287367.98455516,1.8396838629049277,421177858.1315106,1353.418489389012,162331818714.02594,21790.773518813978,413421298743.0032
75%,1658660525213.0,10.62566016739314,3101809747.337107,0.9910285817245184,414856379.25723004,3.613338458459073,200778678.70966306,0.0072200678134497,12542098.871413492,0.028200918786969502,27989170.75568823,2.348939733770464,475695252.75533545,0.34825990323452394,58145301.682890885,1.193245030170282,211286204.5326208,1.9017483858003772,437593101.96969223,1601.1321214852521,192410457759.8599,23093.955240983687,442202298477.74963
max,1659247269693.0,11.244323087246244,3311185991.995951,1.0832636997772918,456431246.2590003,4.643366583628657,260335756.90560743,0.0084382467274869,15584227.58689117,0.0305021103100219,30419430.454152606,2.853185776721737,581178590.7316077,0.3947056103704758,66055382.4897201,1.347082627712982,237057187.5076008,2.0271956426746907,480433964.293228,1759.4960202713903,210767555013.8352,24581.147996301323,469082510224.7266
