,Timestamp,P_ATOM,M_ATOM,P_OSMO,M_OSMO,P_JUNO,M_JUNO,P_ROWAN,M_ROWAN,P_STARS,M_STARS,P_EVMOS,M_EVMOS,P_AKASH,M_AKASH,P_SECRET,M_SECRET,P_KAVA,M_KAVA,P_ETH,M_ETH,P_BTC,M_BTC
count,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0
mean,1660689511794.9355,11.663074945261712,3409100429.1257796,1.1683114842783329,504064259.0190028,5.599932842118044,320854499.5642122,0.005823043881316194,11207934.25336131,0.03200308120443459,34292071.61981599,2.1560329839539296,553575090.9814615,0.38780323249390836,65407510.65855624,1.2485432073009204,221637198.20708814,2.061152217957171,510399474.3004586,1748.624958557427,210013455686.87314,22840.31944586807,436744017992.6178
std,783235160.3223083,0.7629779721732051,226755732.38526073,0.06698148229143623,32266069.246673822,0.6028356975432764,35642778.93452251,0.0013024475055355004,2086343.4347648756,0.001436812149705004,1959679.6733846497,0.6018714632454404,157729392.72405204,0.033446503897030945,5494374.956870827,0.11912355717922989,20829446.0715392,0.22183438037803346,52273091.991522536,149.42006050609882,17775670846.278088,1555.4186119020796,29469045771.119923
min,1659394889693.0,10.418582316704269,3029494978.557851,1.0402879836837884,440616956.95462966,4.212877966589875,236390074.03594613,0.0036401073742189,7575473.988094417,0.0293273434816014,29125879.28706822,1.5474542201762742,314898612.942332,0.3263959019318589,55483501.83499758,1.078343335786083,191031295.7616693,1.6834766234779428,422390302.880262,1498.3617285030375,180632272171.8918,20068.799454617038,385062256402.3308
25%,1660042840260.0,10.942529801694139,3197717772.5990653,1.1363042007692754,492713554.68899,5.380087003798924,311270220.3591727,0.0048411149287908,9675492.147402875,0.0308673344195451,33461922.781689763,1.8632873951397917,479230482.87173975,0.3708421670591141,62605452.28618325,1.1648571553232567,208110780.67580175,1.866359247381915,468345403.4428748,1653.4629615348676,198538331269.32852,21620.099909737823,414055641620.90765
50%,1660690946713.0,11.8645899263434,3471414851.934362,1.1833858857901127,511248702.1849966,5.758863049400751,331325743.50877833,0.0059484004742528,11379409.742385777,0.0320896073133012,34466167.87671656,1.9414243220411824,528558228.7805817,0.3869572815639288,65107641.17005439,1.2095526789822382,214776630.97299704,2.140096004768687,513139816.6434,1713.5852829038995,205286308474.3013,23326.974063756443,446118120861.4456
75%,1661338978564.5,12.153177812388904,3559561465.356563,1.206547378364826,522050115.77807045,6.070656310811401,347720400.3880972,0.0071176633848907996,13262945.85493642,0.033108679295919305,35594254.726993255,2.425766970946776,680963184.4467568,0.41634619425755315,70127563.84139171,1.3231330906321463,235496433.5571196,2.267543051361403,559911450.4547541,1868.235963145767,224275816238.30322,24122.13877390594,461316934411.84094
max,1661943786042.0,13.199197983549888,3853584599.199222,1.2852698831591178,560284982.3995242,6.291983700991506,359970231.1942191,0.0075075763099665,13863090.22233862,0.0347770426146417,37817848.27179194,4.786768823897311,963870054.9723057,0.4392568208048736,74018971.7906343,1.5341170127101331,271200874.2238812,2.350607389859772,582481289.7052528,2024.5044465635328,242062953215.6957,24995.084223759943,478200159059.9683
