,0
index,inf
P_ATOM,0.3046136091032188
M_ATOM,0.3096889617973744
P_OSMO,0.2795541742653558
M_OSMO,0.3297367785948384
P_JUNO,0.6990092724137655
M_JUNO,0.7653298619446147
P_ROWAN,0.23570118304773735
M_ROWAN,0.3809416788075164
P_STARS,0.36683816847066075
M_STARS,0.37081526107232365
P_EVMOS,-0.2802028390812622
M_EVMOS,-0.2867013621227358
P_AKASH,0.5746738142586982
M_AKASH,0.602111482763404
P_SECRET,0.1994466370123531
M_SECRET,0.2172112971700979
P_KAVA,0.03714055601586708
M_KAVA,0.12293814408046289
P_ETH,0.5824034653837082
M_ETH,0.582871697292636
P_BTC,0.2144099695169177
M_BTC,0.2155873911946382
