,Timestamp,Marketcap,Price,Date
279,1657706409595,2310965575.409808,7.930590890673008,2022-07-13 10:00:09.595
280,1657710096949,2324604345.279814,7.942426434456655,2022-07-13 11:01:36.949
281,1657713674792,2330104632.21401,7.951105682922309,2022-07-13 12:01:14.792
282,1657717240794,2215312599.305089,7.5707686003113475,2022-07-13 13:00:40.794
283,1657720833833,2207609034.348681,7.579143814554718,2022-07-13 14:00:33.833
284,1657724491070,2252855668.1896358,7.788097028431134,2022-07-13 15:01:31.070
285,1657728040664,2264000464.063011,7.73789311991648,2022-07-13 16:00:40.664
286,1657731692968,2264079497.667966,7.788149640172113,2022-07-13 17:01:32.968
287,1657735277653,2320510543.5108976,7.934568697813705,2022-07-13 18:01:17.653
288,1657738928796,2303520298.5806828,7.898124920733553,2022-07-13 19:02:08.796
289,1657742414972,2298775789.28371,7.835852070382732,2022-07-13 20:00:14.972
290,1657746105939,2286051371.505656,7.800586076705791,2022-07-13 21:01:45.939
291,1657749680507,2300361423.250849,7.893690905320336,2022-07-13 22:01:20.507
292,1657753308516,2319407458.8818917,7.940825166814581,2022-07-13 23:01:48.516
293,1657756885604,2373911528.6986127,8.17326044681556,2022-07-14 00:01:25.604
294,1657760472866,2384541371.271049,8.137247964990358,2022-07-14 01:01:12.866
295,1657764027642,2391089243.453524,8.169358539841959,2022-07-14 02:00:27.642
296,1657767712535,2378273180.77701,8.142724497214159,2022-07-14 03:01:52.535
297,1657771323992,2381406265.9133983,8.121538466459802,2022-07-14 04:02:03.992
298,1657774807853,2390764344.745369,8.21557392435216,2022-07-14 05:00:07.853
299,1657778465129,2414531451.941033,8.32603176883336,2022-07-14 06:01:05.129
300,1657782120346,2416998663.9232464,8.265902949449986,2022-07-14 07:02:00.346
301,1657785620457,2421622065.596346,8.251109766524943,2022-07-14 08:00:20.457
302,1657789239286,2457857768.1861124,8.392113998279347,2022-07-14 09:00:39.286
303,1657792930226,2433687835.5428743,8.317850043579991,2022-07-14 10:02:10.226
304,1657796540185,2425313289.084609,8.28388629558489,2022-07-14 11:02:20.185
305,1657800083995,2393587336.5483794,8.170364153529839,2022-07-14 12:01:23.995
306,1657803690221,2411702585.154903,8.254575068981016,2022-07-14 13:01:30.221
307,1657807328354,2411227075.222729,8.256974909620688,2022-07-14 14:02:08.354
308,1657810864540,2423563975.398059,8.333672791099477,2022-07-14 15:01:04.540
309,1657814471435,2485143429.577823,8.497705920705947,2022-07-14 16:01:11.435
310,1657818021507,2473812756.84001,8.450752244026633,2022-07-14 17:00:21.507
311,1657821622942,2524228397.2694016,8.662899752057434,2022-07-14 18:00:22.942
312,1657825295046,2599314230.116002,8.876964890492042,2022-07-14 19:01:35.046
313,1657828856466,2593983759.8117647,8.885349353411097,2022-07-14 20:00:56.466
314,1657832404033,2627112451.2001047,8.9663465861286,2022-07-14 21:00:04.033
315,1657836076380,2607758815.127545,8.865680410246696,2022-07-14 22:01:16.380
316,1657839640114,2597872692.483836,8.882991786480662,2022-07-14 23:00:40.114
317,1657843241960,2643327434.267898,8.983433771769969,2022-07-15 00:00:41.960
318,1657846831668,2614219469.094,8.927269404546694,2022-07-15 01:00:31.668
319,1657850494881,2641484938.669724,9.02805827902277,2022-07-15 02:01:34.881
320,1657854017937,2642728512.461355,8.992825116358834,2022-07-15 03:00:17.937
321,1657857658944,2640651609.356617,9.020540494416478,2022-07-15 04:00:58.944
322,1657861269242,2636347891.167382,8.989251307537481,2022-07-15 05:01:09.242
323,1657865025957,2624506551.722187,8.982781573298745,2022-07-15 06:03:45.957
324,1657868547250,2623627275.783855,8.955706502329324,2022-07-15 07:02:27.250
325,1657872051056,2638174827.7324724,9.010084953673568,2022-07-15 08:00:51.056
326,1657875726527,2651724451.4858203,9.068505041151107,2022-07-15 09:02:06.527
327,1657879275663,2664349583.4324603,9.086185238838842,2022-07-15 10:01:15.663
328,1657882835870,2653795367.031424,9.070132819392905,2022-07-15 11:00:35.870
329,1657886483600,2685754120.1310225,9.161473353502272,2022-07-15 12:01:23.600
330,1657890141611,2725959171.2089534,9.30484400659914,2022-07-15 13:02:21.611
331,1657893669720,2694946238.7093377,9.183009102242448,2022-07-15 14:01:09.720
332,1657897258221,2717039111.958012,9.2507574512908,2022-07-15 15:00:58.221
333,1657900869638,2728316346.6297755,9.32894465230536,2022-07-15 16:01:09.638
334,1657904459975,2702233417.161376,9.234757933830611,2022-07-15 17:00:59.975
335,1657908141930,2701184498.138644,9.23209923122628,2022-07-15 18:02:21.930
336,1657911614011,2741915566.386925,9.3661576181469,2022-07-15 19:00:14.011
337,1657915251372,2736087438.3969765,9.425002251741548,2022-07-15 20:00:51.372
338,1657918860448,2715990794.8323417,9.240575373349817,2022-07-15 21:01:00.448
339,1657922504725,2668010473.9627423,9.137628730378022,2022-07-15 22:01:44.725
340,1657926058028,2662984771.0094466,9.120795513212046,2022-07-15 23:00:58.028
341,1657929695838,2641321181.747328,9.054819163320465,2022-07-16 00:01:35.838
342,1657933219412,2630390481.8614087,8.991088036901452,2022-07-16 01:00:19.412
343,1657936913872,2624285763.0644174,8.959056608372233,2022-07-16 02:01:53.872
344,1657940536565,2615944434.6766977,8.946258265646645,2022-07-16 03:02:16.565
345,1657944027338,2617877027.968356,8.95220086983858,2022-07-16 04:00:27.338
