,Timestamp,Marketcap,Price,Date
88,1651705260149,5772054249.945017,19.71831030626681,2022-05-04 23:01:00.149
89,1651708994635,5805524349.163953,19.92075146124288,2022-05-05 00:03:14.635
90,1651712491635,5870454000.869217,20.06230561677678,2022-05-05 01:01:31.635
91,1651716197191,5877805859.921752,20.089144965134363,2022-05-05 02:03:17.191
92,1651719672429,5926000849.214558,20.3006879540608,2022-05-05 03:01:12.429
93,1651723358408,5912236345.888413,20.20997864942901,2022-05-05 04:02:38.408
94,1651726951446,5920469051.763222,20.23434568086574,2022-05-05 05:02:31.446
95,1651730477626,5937066073.36986,20.15331554995619,2022-05-05 06:01:17.626
96,1651734279012,5872739950.777431,20.011551822490407,2022-05-05 07:04:39.012
97,1651737772300,5854191910.484407,20.008437288706872,2022-05-05 08:02:52.300
98,1651741303308,5890642414.333177,20.11752935855619,2022-05-05 09:01:43.308
99,1651744877516,5840597580.168919,19.919686602612707,2022-05-05 10:01:17.516
100,1651748451663,5829190490.086401,19.873903772566862,2022-05-05 11:00:51.663
101,1651752093130,5819534863.683914,19.74175825617559,2022-05-05 12:01:33.130
102,1651755705423,5851582854.032776,19.964439808854635,2022-05-05 13:01:45.423
103,1651759349781,5768596742.157376,19.538385064973856,2022-05-05 14:02:29.781
104,1651762911580,5499371853.948132,18.6685454794532,2022-05-05 15:01:51.580
105,1651766457744,5217543386.182091,17.60856043788817,2022-05-05 16:00:57.744
106,1651770075823,5180609365.370828,17.74923155228543,2022-05-05 17:01:15.823
107,1651773805208,5186851547.188381,17.647114545137814,2022-05-05 18:03:25.208
108,1651777338274,5119028093.019916,17.508867056145206,2022-05-05 19:02:18.274
109,1651780942509,5163338103.542866,17.739163971228457,2022-05-05 20:02:22.509
110,1651784461604,5261031800.255611,17.981693170626126,2022-05-05 21:01:01.604
111,1651788167814,5277874166.566619,18.02047113233419,2022-05-05 22:02:47.814
112,1651791701826,5208217910.342811,17.726967735460637,2022-05-05 23:01:41.826
113,1651795417768,5229684891.33683,17.88520501819866,2022-05-06 00:03:37.768
114,1651799219573,5193313710.476141,17.843868121204537,2022-05-06 01:06:59.573
