,Unnamed: 0,Timestamp,Marketcap,Price,TxFee,Bonded_Ratio,FeeValue,AggValue
count,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
mean,14.5,1668595035418.8333,3416257393.280896,11.6732734672746,130.33045679999998,63.32333333333333,1534.6501669410209,4.452780331457893e-07
std,8.803408430829505,758185894.2621765,587259817.8956238,2.009626027980875,30.25490720288221,1.2223390052183394,475.66892872244995,1.0324209487226532e-07
min,0.0,1667343804778.0,2747449634.049875,9.378317602229671,47.424412,61.86,500.3144897993026,1.6249469852647377e-07
25%,7.25,1667970053410.0,2978309165.286693,10.176249477562864,113.47397600000001,62.07,1134.1011946392493,3.8717581892178167e-07
50%,14.5,1668596468246.0,3105971780.016017,10.62169834624059,128.71132599999999,64.11,1384.3005068673153,4.3981222195809197e-07
75%,21.75,1669222823226.0,3934742775.3365407,13.474668438720531,145.1729555,64.4675,1958.651980465492,4.961341848198264e-07
max,29.0,1669806050722.0,4588728984.621137,15.723658281036515,213.63772,64.67,2383.50239225504,7.299079729522896e-07
