,Unnamed: 0,Index,Timestamp,Marketcap,Price,TxFee,Bonded Ratio,FeeValue,AggValue
count,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
mean,14.5,358.73333333333335,1663324684014.7,4287572923.699672,14.655254229847644,143.5033891,66.26733333333334,2139.1296655941487,4.906122956276503e-07
std,8.803408430829505,210.8274230237864,758221996.5822291,409733484.24503917,1.399397011828339,70.2666921423659,0.11070100561276883,1122.9433402311658,2.4119402381018975e-07
min,0.0,11.0,1662073228827.0,3731936776.061597,12.744357980300023,45.719709,66.07,596.7335811973851,1.562606666081661e-07
25%,7.25,185.0,1662699683038.25,3832850926.7442026,13.08253776293823,112.86546924999999,66.175,1487.1665738042489,3.8520762081990263e-07
50%,14.5,359.0,1663326238498.0,4293424910.522828,14.69095431592007,128.3686735,66.28,1855.5097271395075,4.4126025935377814e-07
75%,21.75,533.0,1663952620206.5,4684191452.163745,16.021401938162896,154.98951,66.36749999999999,2461.7306240447765,5.312466091518953e-07
max,29.0,697.0,1664535736078.0,4931505298.434113,16.932362198201226,442.117189,66.54,6675.138337840823,1.5226324708538474e-06
