,Unnamed: 0,Index,Timestamp,Marketcap,Price,TxFee,Bonded Ratio,FeeValue,AggValue
count,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0
mean,15.0,362.1290322580645,1665959571653.3225,3718734801.966441,12.711519201960053,132.6017227096774,65.52225806451612,1687.4053423381617,4.532178505915153e-07
std,9.092121131323903,214.64167689981736,783606440.3920213,210278024.20586607,0.716697922685832,42.707861976768946,1.3862869103650455,555.1562406743789,1.457035038878938e-07
min,0.0,11.0,1664665312215.0,3394115958.963058,11.583050514813293,77.920015,63.98,1022.6226644981456,2.663266756494449e-07
25%,7.5,180.0,1665313613747.5,3550346206.427994,12.142470540776735,112.418357,64.06,1392.1842485248417,3.842014406968099e-07
50%,15.0,360.0,1665961568729.0,3721233182.896701,12.69090945130714,119.897961,66.24,1458.054910333903,4.105779136764474e-07
75%,22.5,540.0,1666609249355.5,3871155008.8209515,13.226166640035565,135.7185595,66.67,1849.561595887304,4.6363436837439263e-07
max,30.0,709.0,1667214073021.0,4185263732.6660304,14.305020046994738,313.187512,67.76,3893.29636183984,1.069250397913502e-06
